N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene
56;136;80;216;Hg;20920;400;7685.0;2;6050;500;022459;429;-1;7934.8723789162195;-249.87237891621953
54;135;81;216;Tl;14870;300;7709.0;1;7361;361;015964;322;1;7955.221928354017;-246.2219283540171
52;134;82;216;Pb;7510;200;7740.0;1;1636;201;008062;215;-1;7984.687193731035;-244.68719373103522
50;133;83;216;Bi;5873.988;11.178;7743.4996;0.0518;4091.6520;11.3243;006305.985;12.000;1;7995.043601879395;-251.54400187939518
48;132;84;216;Po;1782.336;1.815;7758.8205;0.0084;-474.3423;3.5713;001913.416;1.948;-1;8014.515725966973;-255.69522596697334
46;131;85;216;At;2256.678;3.575;7753.0024;0.0166;2003.3657;6.6383;002422.643;3.837;1;8014.8789928258975;-261.8765928258972
44;130;86;216;Rn;253.312;5.768;7758.6553;0.0267;-2717.7096;6.9366;000271.942;6.192;-1;8024.357975624039;-265.7026756240384
42;129;87;216;Fr;2971.022;4.174;7742.4513;0.0193;-320.4441;8.8904;003189.523;4.480;1;8014.728101193523;-272.27680119352317
40;128;88;216;Ra;3291.466;8.004;7737.3458;0.0371;-4858.2701;12.2147;003533.534;8.592;-1;8014.2139427022275;-276.8681427022275
38;127;89;216;Ac;8149.736;9.230;7711.2319;0.0427;-2148.8006;14.4375;008749.101;9.908;1;7994.590926982275;-283.3590269822753
36;126;90;216;Th;10298.537;11.104;7697.6617;0.0514;-7525.2616;27.0327;011055.933;11.920;-1;7984.083627201541;-286.4219272015416
34;125;91;216;Pa;17823.799;24.647;7659.2006;0.1141;-5242.6308;37.3721;019134.633;26.459;1;7954.467470192152;-295.26687019215206
32;124;92;216;U;23066.429;28.093;7631.3072;0.1301;*;;024762.829;30.158;-1;7933.96702912198;-302.6598291219798
55;136;81;217;Tl;18660;400;7693.0;2;6399;500;020032;429;0;7943.587184140861;-250.5871841408607
53;135;82;217;Pb;12260;300;7719.0;1;3530;300;013162;322;0;7967.507332604215;-248.50733260421475
51;134;83;217;Bi;8729.963;17.698;7731.8491;0.0816;2846.5103;18.8695;009372.000;19.000;0;7986.473743385092;-254.62464338509199
49;133;84;217;Po;5883.452;6.544;7741.3614;0.0302;1488.8543;7.9791;006316.145;7.025;0;8000.4864164834935;-259.1250164834937
47;132;85;217;At;4394.598;5.001;7744.6172;0.0230;736.0320;6.1505;004717.794;5.368;0;8009.545351899415;-264.92815189941575
45;131;86;217;Rn;3658.566;4.198;7744.4037;0.0193;-656.0967;7.5383;003927.632;4.506;0;8013.65054963286;-269.2468496328602
43;130;87;217;Fr;4314.663;6.531;7737.775;0.0301;-1574.8729;9.4723;004631.980;7.011;0;8012.802009683829;-275.0270096838294
41;129;88;217;Ra;5889.536;7.047;7726.9122;0.0325;-2812.7853;13.2129;006322.676;7.564;0;8006.99973205232;-280.08753205232006
39;128;89;217;Ac;8702.321;11.223;7710.3448;0.0517;-3503.4590;15.4454;009342.325;12.048;0;7996.243716738333;-285.89891673833336
37;127;90;217;Th;12205.780;10.614;7690.5945;0.0489;-4848.9680;16.3966;013103.443;11.394;0;7980.533963741869;-289.9394637418691
35;126;91;217;Pa;17054.748;12.498;7664.6438;0.0576;-5916;81;018309.024;13.417;0;7959.870473062929;-295.22667306292897
33;125;92;217;U;22971;81;7634.0;0;*;;024660;86;0;7934.253244701511;-300.253244701511
56;137;81;218;Tl;23710;400;7672.0;2;8081;500;025454;429;1;7924.520286113014;-252.52028611301375
54;136;82;218;Pb;15630;300;7705.0;1;2414;301;016779;322;-1;7956.882505452265;-251.88250545226492
52;135;83;218;Bi;13216.038;27.013;7712.828;0.1239;4859.3866;27.0849;014188.000;29.000;1;7970.414724042217;-257.5867240422167
50;134;84;218;Po;8356.652;1.967;7731.53;0.0090;256.4334;11.5490;008971.234;2.112;-1;7992.953995712447;-261.4239957124473
48;133;85;218;At;8100.218;11.503;7729.1175;0.0528;2882.8048;11.6054;008695.941;12.349;1;7996.663266633378;-267.54576663337775
46;132;86;218;Rn;5217.413;2.316;7738.7527;0.0106;-1842.0267;4.4418;005601.123;2.486;-1;8009.379590634586;-270.62689063458583
44;131;87;218;Fr;7059.440;4.235;7726.7143;0.0194;413.8838;10.5603;007578.620;4.546;1;8003.265913886495;-276.55161388649503
42;130;88;218;Ra;6645.556;9.807;7725.0241;0.0450;-4205.2887;58.4224;007134.297;10.528;-1;8006.159290218681;-281.1351902186816
40;129;89;218;Ac;10850.845;57.616;7702.145;0.2643;-1515.9019;58.5648;011648.860;61.853;1;7990.222665801567;-288.0776658015666
38;128;90;218;Th;12366.747;10.516;7691.6026;0.0482;-6282.8212;20.7132;013276.248;11.289;-1;7983.293094464732;-291.6904944647322
36;127;91;218;Pa;18649.568;17.846;7659.1935;0.0819;-3245.0869;22.5042;020021.133;19.158;1;7957.533522378597;-298.3400223785966
34;126;92;218;U;21894.655;13.714;7640.7191;0.0629;*;;023504.877;14.722;-1;7940.78100337274;-300.06190337273983
55;137;82;219;Pb;20620;400;7684.0;2;4300;447;022136;429;0;7938.85983856126;-254.8598385612604
53;136;83;219;Bi;16320;200;7700.0;1;3638;201;017520;215;0;7960.848193959431;-260.8481939594312
51;135;84;219;Po;12681.361;15.835;7713.334;0.0723;2285.3395;16.1628;013614.000;17.000;0;7977.966780426216;-264.6327804262164
49;134;85;219;At;10396.021;3.237;7720.197;0.0148;1566.6838;2.9473;011160.587;3.474;0;7990.2155979616155;-270.01859796161534
47;133;86;219;Rn;8829.337;2.100;7723.7784;0.0096;212.3984;6.8938;009478.683;2.254;0;7997.594646565627;-273.8162465656269
45;132;87;219;Fr;8616.939;6.874;7721.1759;0.0314;-776.9137;9.5906;009250.664;7.380;0;8000.103926238258;-278.9280262382581
43;131;88;219;Ra;9393.853;6.814;7714.056;0.0311;-2175.7005;51.9016;010084.715;7.315;0;7997.743436979502;-283.6874369795023
41;130;89;219;Ac;11569.553;51.477;7700.5489;0.2351;-2893.2268;76.3627;012420.425;55.263;0;7990.5131787893615;-289.96427878936174
39;129;90;219;Th;14462.780;56.460;7683.7655;0.2578;-4120.4434;89.7010;015526.432;60.611;0;7978.413151667835;-294.6476516678349
37;128;91;219;Pa;18583.223;69.705;7661.3783;0.3183;-4712.7298;70.9693;019949.909;74.831;0;7961.443355614924;-300.06505561492395
35;127;92;219;U;23295.953;13.338;7636.2867;0.0609;-6140.9976;92.9309;025009.233;14.319;0;7939.603790630626;-303.3170906306259
33;126;93;219;Np;29436.951;91.969;7604.6732;0.4199;*;;031601.865;98.732;0;7912.894456714946;-308.2212567149454
56;138;82;220;Pb;24130;400;7670.0;2;3171;500;025905;429;-1;7927.324211727996;-257.32421172799604
54;137;83;220;Bi;20960;300;7681.0;1;5696;300;022501;322;1;7943.917238052924;-262.9172380529244
52;136;84;220;Po;15263.462;17.698;7703.2244;0.0804;887.7139;22.5491;016386.000;19.000;-1;7969.410812182247;-266.1864121822473
50;135;85;220;At;14375.748;13.972;7703.7033;0.0635;3763.7550;14.0896;015433.000;15.000;1;7976.3466124447405;-272.64331244474033
48;134;86;220;Rn;10611.994;1.814;7717.2552;0.0082;-870.3384;4.0256;011392.443;1.947;-1;7992.182960511629;-274.92776051162946
46;133;87;220;Fr;11482.332;4.028;7709.743;0.0183;1210.2406;8.4809;012326.789;4.324;1;7989.461534711687;-279.7185347116865
44;132;88;220;Ra;10272.091;7.595;7711.6879;0.0345;-3471.6640;9.6266;011027.542;8.153;-1;7995.640656716142;-283.9527567161422
42;131;89;220;Ac;13743.755;6.129;7692.3515;0.0279;-945.7825;14.9144;014754.527;6.579;1;7983.262004853765;-290.9105048537649
40;130;90;220;Th;14689.538;13.687;7684.4964;0.0622;-5588.8595;20.0508;015769.866;14.693;-1;7979.783900795782;-295.28750079578185
38;129;91;220;Pa;20278.397;14.655;7655.5364;0.0666;-2735;102;021769.753;15.732;1;7957.748022870972;-302.21162287097195
36;128;92;220;U;23013;101;7640.0;0;-7462;105;024706;108;-1;7944.612692750555;-304.61269275055474
34;127;93;220;Np;30475.022;30.718;7602.0758;0.1396;*;;032716.280;32.977;1;7912.919588763308;-310.8437887633081
55;138;83;221;Bi;24200;300;7668.0;1;4426;301;025980;322;0;7933.412228646428;-265.41222864642805
53;137;84;221;Po;19773.757;19.561;7684.4814;0.0885;2991.0276;24.0390;021228.000;21.000;0;7953.5240303754945;-269.0426303754948
51;136;85;221;At;16782.729;13.972;7694.4754;0.0632;2311.3750;15.0957;018017.000;15.000;0;7968.847835690987;-274.372435690987
49;135;86;221;Rn;14471.354;5.714;7701.3941;0.0259;1194.1032;7.2312;015535.637;6.134;0;7979.3836445929055;-277.9895445929051
47;134;87;221;Fr;13277.251;4.886;7703.2572;0.0221;313.3741;6.3858;014253.714;5.245;0;7985.131457081252;-281.8742570812519
45;133;88;221;Ra;12963.877;4.630;7701.1352;0.0210;-1567.1715;57.0591;013917.293;4.970;0;7986.091273156026;-284.9560731560259
43;132;89;221;Ac;14531.048;56.901;7690.5039;0.2575;-2408.8773;57.4376;015599.721;61.086;0;7982.263092817225;-291.7591928172251
41;131;90;221;Th;16939.926;7.994;7676.064;0.0362;-3435.0112;59.9069;018185.757;8.582;0;7973.64691606485;-297.58291606485
39;130;91;221;Pa;20374.937;59.380;7656.9809;0.2687;-4145.0590;93.4311;021873.393;63.746;0;7960.242742898902;-303.2618428989026
37;129;92;221;U;24519.996;72.135;7634.6849;0.3264;-5390;213;026323.297;77.440;0;7942.050573319382;-307.36567331938204
35;128;93;221;Np;29910;200;7607.0;1;-6019;361;032110;215;0;7919.070407326288;-312.07040732628775
33;127;94;221;Pu;35930;300;7576.0;1;*;;038572;322;0;7891.302244919621;-315.30224491962144
56;139;83;222;Bi;28950;300;7648.0;1;6464;303;031079;322;1;7915.663764401179;-267.6637644011789
54;138;84;222;Po;22486.268;40.054;7674.0054;0.1804;1533.2393;43.0709;024140.000;43.000;-1;7944.0033580892305;-269.99795808923045
52;137;85;222;At;20953.028;15.835;7677.3878;0.0713;4581.0714;15.9542;022494.000;17.000;1;7954.050992080494;-276.6631920804939
50;136;86;222;Rn;16371.957;1.944;7694.4991;0.0088;-6.1461;7.7013;017576.017;2.086;-1;7972.894766621444;-278.39566662144443
48;135;87;222;Fr;16378.103;7.452;7690.9474;0.0336;2057.8980;8.6816;017582.615;8.000;1;7973.446581465604;-282.4991814656041
46;134;88;222;Ra;14320.205;4.454;7696.6931;0.0201;-2301.5922;6.2737;015373.371;4.781;-1;7982.79453685945;-286.1014368594497
44;133;89;222;Ac;16621.797;4.699;7682.8015;0.0212;-581.2415;11.1289;017844.232;5.044;1;7973.850532556507;-291.049032556507
42;132;90;222;Th;17203.039;10.216;7676.6592;0.0460;-4861.3220;87.1915;018468.220;10.966;-1;7973.702668803247;-297.0434688032474
40;131;91;222;Pa;22064.361;86.606;7651.2373;0.3901;-2208.4729;101.0129;023687.064;92.975;1;7955.262845353202;-304.0255453532018
38;130;92;222;U;24272.834;51.994;7637.7651;0.2342;-7001.8072;64.4300;026057.957;55.817;-1;7945.619162452838;-307.85406245283866
36;129;93;222;Np;31274.641;38.051;7602.7013;0.1714;-3785;302;033574.706;40.849;1;7917.683519855687;-314.9822198556876
34;128;94;222;Pu;35060;300;7582.0;1;*;;037638;322;-1;7898.544017808222;-316.5440178082217
57;140;83;223;Bi;32240;400;7636.0;2;5161;445;034611;429;0;7904.275278568048;-268.2752785680477
55;139;84;223;Po;27079;196;7655.0;1;3651;196;029070;210;0;7927.272117785184;-272.2721177851836
53;138;85;223;At;23428.008;13.972;7668.0557;0.0627;3038.2698;16.0129;025151.000;15.000;0;7945.5606137862615;-277.50491378626157
51;137;86;223;Rn;20389.738;7.822;7678.172;0.0351;2007.4091;8.0568;021889.283;8.397;0;7959.140766571283;-280.9687665712836
49;136;87;223;Fr;18382.329;1.931;7683.6655;0.0087;1149.0844;0.8476;019734.241;2.073;0;7968.01257614025;-284.34707614024956
47;135;88;223;Ra;17233.245;2.090;7685.3101;0.0094;-591.8099;6.9657;018500.648;2.243;0;7972.176042493159;-286.8659424931593
45;134;89;223;Ac;17825.055;6.947;7679.1479;0.0312;-1560.3471;10.4712;019135.982;7.457;0;7971.631165630012;-292.4832656300123
43;133;90;223;Th;19385.402;7.943;7668.6426;0.0356;-2952.2124;76.0305;020811.083;8.527;0;7966.377945550808;-297.73534555080823
41;132;91;223;Pa;22337.614;75.632;7651.8957;0.3392;-3707.6637;95.9225;023980.414;81.193;0;7956.416382255548;-304.5206822555483
39;131;92;223;U;26045.278;59.054;7631.7611;0.2648;-4613.3046;101.7520;027960.754;63.396;0;7941.746475744231;-309.98537574423153
37;130;93;223;Np;30658.583;82.863;7607.5654;0.3716;-5462;311;032913.340;88.956;0;7922.368226016858;-314.8028260168576
35;129;94;223;Pu;36121;300;7580.0;1;-6579;424;038777;322;0;7898.2816330734295;-318.2816330734295
33;128;95;223;Am;42700;300;7547.0;1;*;;045840;322;0;7869.486696913943;-322.486696913943
58;141;83;224;Bi;37070;400;7616.0;2;7159;445;039796;429;1;7885.7607084939855;-269.7607084939855
56;140;84;224;Po;29910;196;7644.0;1;2199;197;032110;210;-1;7916.842384932312;-272.8423849323117
54;139;85;224;At;27711.018;22.356;7650.7354;0.0998;5265.9197;24.4153;029749.000;24.000;1;7929.891711024775;-279.1563110247753
52;138;86;224;Rn;22445.098;9.814;7670.7514;0.0438;696.4840;14.8750;024095.803;10.536;-1;7951.634810962618;-280.88341096261775
50;137;87;224;Fr;21748.614;11.178;7670.368;0.0499;2922.7819;11.3237;023348.096;12.000;1;7955.345560554599;-284.9775605545983
48;136;88;224;Ra;18825.832;1.811;7679.9236;0.0081;-1408.3152;4.0869;020210.361;1.944;-1;7967.7500839919585;-287.8264839919584
46;135;89;224;Ac;20234.148;4.089;7670.1438;0.0183;238.5672;10.3428;021722.249;4.389;1;7962.1222570834525;-291.97845708345267
44;134;90;224;Th;19995.581;9.604;7667.7162;0.0429;-3866.7705;12.1339;021466.137;10.310;-1;7965.18820402033;-297.47200402033013
42;133;91;224;Pa;23862.351;7.587;7646.9612;0.0339;-1880.3393;16.9711;025617.286;8.145;1;7950.221800611341;-303.26060061134103
40;132;92;224;U;25742.690;15.261;7635.0742;0.0681;-6289.5572;32.7036;027635.913;16.383;-1;7943.949171047733;-308.8749710477332
38;131;93;224;Np;32032.248;28.925;7603.5032;0.1291;-3248;301;034388.030;31.052;1;7919.644191138261;-316.1409911382607
36;130;94;224;Pu;35280;300;7586.0;1;-7980;500;037875;322;-1;7904.03298507417;-318.03298507417
34;129;95;224;Am;43260;400;7546.0;2;*;;046442;429;1;7870.3894286642135;-324.3894286642135
57;141;84;225;Po;34580;300;7626.0;1;4280;424;037123;322;0;7899.318756228226;-273.31875622822645
55;140;85;225;At;30300;300;7641.0;1;3765;300;032528;322;0;7920.4660269134165;-279.4660269134165
53;139;86;225;Rn;26534.143;11.140;7654.3581;0.0495;2713.5412;16.3492;028485.572;11.958;0;7936.9825618144705;-282.6244618144701
51;138;87;225;Fr;23820.602;11.967;7662.9412;0.0532;1827.5584;12.1574;025572.466;12.847;0;7948.868360931394;-285.9271609313937
49;137;88;225;Ra;21993.044;2.596;7667.5866;0.0115;355.7386;5.0067;023610.502;2.786;0;7956.123424264184;-288.53682426418436
47;136;89;225;Ac;21637.305;4.758;7665.6906;0.0211;-672.8878;6.6576;023228.601;5.107;0;7958.747751812839;-293.05715181283904
45;135;90;225;Th;22310.193;5.093;7659.2229;0.0226;-2046.4473;82.0038;023950.975;5.467;0;7956.741343577363;-297.51844357736354
43;134;91;225;Pa;24356.640;81.867;7646.6504;0.3639;-3015.3610;82.4514;026147.927;87.887;0;7950.1041995577525;-303.45379955775206
41;133;92;225;U;27372.001;9.934;7629.7717;0.0442;-4246.0969;92.1491;029385.050;10.664;0;7938.836319754008;-309.06461975400816
39;132;93;225;Np;31618.098;91.618;7607.4231;0.4072;-4682;314;033943.422;98.355;0;7922.937704166133;-315.5146041661328
37;131;94;225;Pu;36300;300;7583.0;1;-6090;500;038970;322;0;7902.408352794122;-319.40835279412204
35;130;95;225;Am;42390;400;7553.0;2;*;;045508;429;0;7877.248265637979;-324.2482656379789
58;142;84;226;Po;37549;401;7614.0;2;2889;500;040310;430;-1;7888.0325958063795;-274.0325958063795
56;141;85;226;At;34660;300;7624.0;1;5913;300;037209;322;1;7903.977813571491;-279.9778135714914
54;140;86;226;Rn;28747.194;10.477;7646.4108;0.0464;1226.6542;12.1895;030861.380;11.247;-1;7928.516423559959;-282.105623559959
52;139;87;226;Fr;27520.539;6.230;7648.3768;0.0276;3852.9638;6.5215;029544.512;6.688;1;7935.2762870862525;-286.8994870862525
50;138;88;226;Ra;23667.576;1.927;7661.9636;0.0085;-641.6252;3.2730;025408.186;2.068;-1;7950.629542835903;-288.66594283590257
48;137;89;226;Ac;24309.201;3.100;7655.6628;0.0137;1111.5517;4.5626;026096.999;3.327;1;7948.204052123378;-292.5412521233775
46;136;90;226;Th;23197.649;4.481;7657.1195;0.0198;-2835.9504;11.9702;024903.699;4.810;-1;7954.371953634209;-297.2524536342089
44;135;91;226;Pa;26033.600;11.213;7641.1093;0.0496;-1295.1978;15.6747;027948.217;12.037;1;7942.761108682867;-301.65180868286734
42;134;92;226;U;27328.797;11.071;7631.9166;0.0490;-5488.0792;102.6485;029338.669;11.884;-1;7939.74365595488;-307.82705595488005
40;133;93;226;Np;32816.877;102.063;7604.1714;0.4516;-2813;225;035230.364;109.568;1;7918.947456764719;-314.7760567647192
38;132;94;226;Pu;35630;200;7588.0;1;-7340;361;038250;215;-1;7906.744649797915;-318.7446497979154
36;131;95;226;Am;42970;300;7552.0;1;*;;046130;322;1;7876.763096368939;-324.76309636893893
59;143;84;227;Po;42281;401;7596.0;2;4850;500;045390;430;0;7869.765791400593;-273.7657914005931
57;142;85;227;At;37430;300;7613.0;1;4544;300;040183;322;0;7893.670097521736;-280.67009752173635
55;141;86;227;Rn;32885.835;14.091;7630.0508;0.0621;3203.3894;15.2755;035304.393;15.127;0;7913.019299896538;-282.96849989653765
53;140;87;227;Fr;29682.445;5.898;7640.7162;0.0260;2504.9813;6.2112;031865.413;6.332;0;7927.813398524992;-287.09719852499256
51;139;88;227;Ra;27177.464;1.946;7648.3048;0.0086;1327.9489;2.2622;029176.205;2.089;0;7938.052393407103;-289.7475934071035
49;138;89;227;Ac;25849.515;1.926;7650.7084;0.0085;44.7559;0.8297;027750.594;2.068;0;7943.736284542871;-293.0278845428702
47;137;90;227;Th;25804.759;2.088;7647.4591;0.0092;-1025.6117;7.2815;027702.546;2.241;0;7944.865071932294;-297.40597193229405
45;136;91;227;Pa;26830.371;7.263;7639.4945;0.0320;-2214.6629;11.1118;028803.586;7.797;0;7941.438755575373;-301.94425557537306
43;135;92;227;U;29045.034;8.510;7626.2918;0.0375;-3533.9848;77.4417;031181.124;9.136;0;7933.457335472106;-307.16553547210606
41;134;93;227;Np;32579.018;76.989;7607.2771;0.3392;-4191;126;034975.012;82.651;0;7920.920811622498;-313.6437116224979
39;133;94;227;Pu;36770;100;7585.0;0;-5410;224;039474;107;0;7903.829184026545;-318.8291840265447
37;132;95;227;Am;42180;200;7558.0;1;*;;045282;215;0;7882.182452684246;-324.1824526842456
58;143;85;228;At;41880;400;7596.0;2;6637;400;044960;429;1;7876.412451936188;-280.4124519361876
56;142;86;228;Rn;35243.466;17.677;7621.6457;0.0775;1859.2451;18.9157;037835.415;18.977;-1;7903.646843055744;-282.00114305574425
54;141;87;228;Fr;33384.221;6.732;7626.3689;0.0295;4444.0270;7.0210;035839.433;7.226;1;7913.350277363475;-286.98137736347417
52;140;88;228;Ra;28940.194;1.995;7642.4289;0.0088;45.5402;0.6344;031068.574;2.141;-1;7931.548653805218;-289.11975380521835
50;139;89;228;Ac;28894.654;2.093;7639.1973;0.0092;2123.7545;2.6446;031019.685;2.247;1;7932.216073435133;-293.01877343513297
48;138;90;228;Th;26770.899;1.806;7645.0807;0.0079;-2152.6993;4.3399;028739.741;1.938;-1;7941.378435199063;-296.2977351990621
46;137;91;228;Pa;28923.599;4.340;7632.2076;0.0190;-296.4020;14.0858;031050.758;4.659;1;7933.009840151165;-300.8022401511653
44;136;92;228;U;29220.001;13.474;7627.4763;0.0591;-4605;101;031368.959;14.465;-1;7933.136187237278;-305.65988723727787
42;135;93;228;Np;33825;100;7604.0;0;-2283;103;036313;108;1;7915.731577511568;-311.7315775115676
40;134;94;228;Pu;36107.809;23.352;7590.4039;0.1024;-6742;202;038763.325;25.069;-1;7906.821909919869;-316.4180099198684
38;133;95;228;Am;42850;200;7557.0;1;*;;046001;215;1;7880.381285516342;-323.38128551634236
59;144;85;229;At;44890;400;7585.0;2;5527;400;048191;429;0;7865.273132599331;-280.2731325993309
57;143;86;229;Rn;39362.400;13.041;7605.6227;0.0569;3694.1465;13.9670;042257.272;14.000;0;7887.355338646482;-281.732638646482
55;142;87;229;Fr;35668.253;5.001;7618.338;0.0218;3106.2907;16.2305;038291.443;5.368;0;7904.956164943632;-286.6181649436321
53;141;88;229;Ra;32561.963;15.441;7628.4862;0.0674;1872.0266;19.6229;034956.703;16.576;0;7918.075611490775;-289.5894114907751
51;140;89;229;Ac;30689.936;12.109;7633.2446;0.0529;1104.4191;12.3458;032947.000;13.000;0;7926.713678287916;-293.4690782879161
49;139;90;229;Th;29585.517;2.404;7634.651;0.0105;-311.3310;3.7152;031761.357;2.581;0;7930.870365335053;-296.2193653350532
47;138;91;229;Pa;29896.848;3.280;7629.8752;0.0143;-1313.7716;6.6554;032095.585;3.521;0;7930.545672632187;-300.67047263218683
45;137;92;229;U;31210.620;5.938;7620.7218;0.0259;-2590.7577;101.3342;033505.976;6.374;0;7925.739600179315;-305.0178001793147
43;136;93;229;Np;33801.378;101.177;7605.9921;0.4418;-3593.5462;117.9433;036287.269;108.618;0;7916.452147976441;-310.46004797644036
41;135;94;229;Pu;37394.924;60.633;7586.8834;0.2648;-4785.4899;122.4147;040145.099;65.092;0;7902.683316023562;-315.7999160235622
39;134;95;229;Am;42180.414;106.348;7562.5697;0.4644;*;;045282.534;114.169;0;7884.433104320679;-321.86340432067936
58;144;86;230;Rn;42170;200;7595.0;1;2683;200;045271;215;-1;7877.12757245266;-282.1275724526604
56;143;87;230;Fr;39486.769;6.541;7603.7052;0.0284;4970.4627;12.1984;042390.787;7.022;1;7889.673115791623;-285.96791579162254
54;142;88;230;Ra;34516.306;10.296;7621.9144;0.0448;677.9196;18.8884;037054.776;11.053;-1;7910.617030996814;-288.70263099681415
52;141;89;230;Ac;33838.386;15.835;7621.4604;0.0689;2975.8745;15.8815;036327.000;17.000;1;7914.272148322038;-292.8117483220385
50;140;90;230;Th;30862.512;1.209;7630.9974;0.0053;-1311.0313;2.8334;033132.267;1.297;-1;7926.325637513495;-295.32823751349497
48;139;91;230;Pa;32173.543;3.038;7621.8958;0.0132;558.5262;4.5919;034539.717;3.261;1;7921.090328824985;-299.19452882498445
46;138;92;230;U;31615.017;4.509;7620.9227;0.0196;-3621.5986;55.1683;033940.114;4.841;-1;7924.253392002707;-303.3306920027071
44;137;93;230;Np;35236.615;55.007;7601.7751;0.2392;-1695.5543;56.8505;037828.060;59.051;1;7910.1276573004625;-308.35255730046265
42;136;94;230;Pu;36932.170;14.451;7591.0016;0.0628;-5940;144;039648.313;15.514;-1;7904.400294464448;-313.39869446444845
40;135;95;230;Am;42872;143;7562.0;1;*;;046025;153;1;7881.384133748469;-319.38413374846914
59;145;86;231;Rn;46550;300;7579.0;1;4469;300;049973;322;0;7860.08946820848;-281.08946820847996
57;144;87;231;Fr;42080.575;7.731;7594.5009;0.0335;3864.0868;13.7495;045175.353;8.300;0;7880.3993799205355;-285.89847992053546
55;143;88;231;Ra;38216.488;11.370;7607.8418;0.0492;2453.6351;17.3014;041027.085;12.206;0;7896.299792326002;-288.45799232600166
53;142;89;231;Ac;35762.853;13.041;7615.0768;0.0565;1947.0425;13.0976;038393.000;14.000;0;7907.790705424887;-292.71390542488734
51;141;90;231;Th;33815.811;1.217;7620.1188;0.0053;391.4727;1.4598;036302.764;1.306;0;7914.872119217188;-294.7533192171877
49;140;91;231;Pa;33424.338;1.771;7618.4267;0.0077;-381.6138;2.0325;035882.500;1.901;0;7917.544033702903;-299.1173337029031
47;139;92;231;U;33805.952;2.670;7613.3879;0.0116;-1817.7347;51.1839;036292.180;2.866;0;7915.806448882034;-302.418548882034
45;138;93;231;Np;35623.686;51.154;7602.1321;0.2214;-2684.8905;55.6931;038243.598;54.916;0;7909.659364754581;-307.52726475458076
43;137;94;231;Pu;38308.577;22.061;7587.1224;0.0955;-4101;301;041125.946;23.683;0;7899.102781320545;-311.98038132054444
41;136;95;231;Am;42410;300;7566.0;1;-4860;424;045529;322;0;7884.136698579921;-318.13669857992136
39;135;96;231;Cm;47270;300;7542.0;1;*;;050746;322;0;7864.761116532715;-322.7611165327153
58;145;87;232;Fr;46072.834;13.972;7579.3481;0.0602;5575.8791;16.7023;049461.219;15.000;1;7864.344798047676;-284.99669804767564
56;144;88;232;Ra;40496.955;9.151;7600.0099;0.0394;1342.5322;15.9313;043475.267;9.823;-1;7887.93851576073;-287.9286157607303
54;143;89;232;Ac;39154.423;13.041;7602.4245;0.0562;3707.7131;13.1181;042034.000;14.000;1;7894.480139979023;-292.055639979023
52;142;90;232;Th;35446.710;1.421;7615.0338;0.0061;-499.8388;7.7338;038053.606;1.525;-1;7909.32539566857;-294.29159566857015
50;141;91;232;Pa;35946.549;7.645;7609.5072;0.0330;1337.1034;7.4278;038590.205;8.206;1;7907.118557863355;-297.6113578633549
48;140;92;232;U;34609.445;1.808;7611.8984;0.0078;-2750;100;037154.765;1.941;-1;7913.215351529394;-301.3169515293939
46;139;93;232;Np;37359;100;7597.0;0;-1001;101;040107;107;1;7902.260051700672;-305.2600517006722
44;138;94;232;Pu;38360.915;16.885;7588.9839;0.0728;-5059;300;041182.133;18.126;-1;7899.608383343205;-310.6244833432047
42;137;95;232;Am;43420;300;7564.0;1;-2913;361;046613;322;1;7879.904621490974;-315.904621490974
40;136;96;232;Cm;46333;201;7548.0;1;*;;049740;216;-1;7868.50449111;-320.50449111000034
59;146;87;233;Fr;48920.052;19.561;7569.2398;0.0840;4585.9906;21.3694;052517.833;21.000;0;7854.240338791821;-285.0005387918209
57;145;88;233;Ra;44334.062;8.603;7585.5644;0.0369;3026.0244;15.6228;047594.570;9.235;0;7872.826044045031;-287.26164404503106
55;144;89;233;Ac;41308.037;13.041;7595.1939;0.0560;2576.3950;13.1184;044346.000;14.000;0;7887.072348651961;-291.87844865196075
53;143;90;233;Th;38731.642;1.424;7602.8937;0.0061;1242.2320;1.1224;041580.126;1.528;0;7896.979252612612;-294.08555261261245
51;142;91;233;Pa;37489.410;1.336;7604.8675;0.0057;570.2993;1.9750;040246.535;1.433;0;7902.546755926986;-297.6792559269861
49;141;92;233;U;36919.111;2.254;7603.9574;0.0097;-1029.4197;51.0050;039634.294;2.420;0;7903.7748585950785;-299.8174585950783
47;140;93;233;Np;37948.531;50.981;7596.1816;0.2188;-2103.3047;74.3811;040739.421;54.729;0;7900.663560616896;-304.4819606168958
45;139;94;233;Pu;40051.836;54.178;7583.7968;0.2325;-3233;126;042997.411;58.162;0;7893.212861992433;-309.41606199243324
43;138;95;233;Am;43285;114;7567.0;0;-4008;140;046468;123;0;7881.422762721692;-314.4227627216924
41;137;96;233;Cm;47293.340;81.095;7546.002;0.3480;-5478;247;050771.485;87.059;0;7865.293262804673;-319.29126280467244
39;136;97;233;Bk;52771;233;7519.0;1;*;;056652;250;0;7844.824362241376;-325.82436224137564
