N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene
10;22;12;34;Mg;8323.324;6.893;7550.3919;0.2027;11320.9428;7.2072;008935.455;7.400;-1;7337.899797784359;212.49210221564044
8;21;13;34;Al;-2997.619;2.105;7860.3506;0.0619;16994.0653;2.2519;996781.924;2.259;1;7797.6037608261895;62.74683917381026
6;20;14;34;Si;-19991.684;0.801;8337.1659;0.0236;4557.0175;1.1395;978538.045;0.860;-1;8310.744690292537;26.421209707463277
4;19;15;34;P;-24548.702;0.810;8448.1856;0.0238;5382.9879;0.8116;973645.886;0.870;1;8425.373373572551;22.812226427449787
2;18;16;34;S;-29931.689;0.045;8583.4986;0.0013;-5491.6037;0.0378;967867.011;0.047;-1;8593.439023277084;-9.940423277083028
0;17;17;34;Cl;-24440.086;0.049;8398.9706;0.0014;-6061.7930;0.0631;973762.490;0.052;1;8362.992426795285;35.97817320471586
-2;16;18;34;Ar;-18378.293;0.078;8197.6724;0.0023;-17158;196;980270.092;0.083;-1;8185.982796738002;11.689603261997036
-4;15;19;34;K;-1220;196;7670.0;6;-16110;358;998690;210;1;7610.460920494387;59.53907950561279
-6;14;20;34;Ca;14890;300;7173.0;9;*;;015985;322;-1;7088.3760106752925;84.62398932470751
13;24;11;35;Na;37831;670;6745.0;19;22192;723;040614;720;0;6307.296477552158;437.70352244784226
11;23;12;35;Mg;15639.786;269.668;7356.2338;7.7048;15863.5156;269.7679;016790.000;289.500;0;7083.7666003686645;272.46719963133546
9;22;13;35;Al;-223.730;7.359;7787.1243;0.2103;14167.7504;36.6047;999759.816;7.900;0;7697.196858088471;89.92744191152906
7;21;14;35;Si;-14391.480;35.857;8169.5644;1.0245;10466.3291;35.9049;984550.111;38.494;0;8147.587250711574;21.977149288426517
5;20;15;35;P;-24857.809;1.866;8446.2496;0.0533;3988.4006;1.8667;973314.045;2.003;0;8434.93777823798;11.311821762019463
3;19;16;35;S;-28846.210;0.040;8537.8511;0.0012;167.3218;0.0257;969032.321;0.043;0;8559.24844066768;-21.3973406676796
1;18;17;35;Cl;-29013.532;0.035;8520.279;0.0010;-5966.2429;0.6794;968852.694;0.038;0;8520.519238000681;-0.24023800068061973
-1;17;18;35;Ar;-23047.289;0.680;8327.4621;0.0194;-11874.3955;0.8516;975257.719;0.730;0;8318.75017023698;8.711929763021544
-3;16;19;35;K;-11172.893;0.512;7965.8409;0.0146;-16363;200;988005.406;0.550;0;7953.941237376578;11.899662623422046
-5;15;20;35;Ca;5190;200;7476.0;6;-21910;447;005572;215;0;7426.092439419474;49.90756058052557
-7;14;21;35;Sc;27100;400;6828.0;11;*;;029093;429;0;6735.203776365671;92.79622363432918
14;25;11;36;Na;45903;687;6557.0;19;25523;974;049279;737;1;6025.458501073821;531.541498926179
12;24;12;36;Mg;20380.159;690.237;7244.4202;19.1733;14429.7751;706.2429;021879.000;741.000;-1;6932.323205089909;312.09699491009087
10;23;13;36;Al;5950.384;149.505;7623.5154;4.1529;18386.5096;165.8510;006388.000;160.500;1;7477.465999310292;146.0494006897079
8;22;14;36;Si;-12436.125;71.797;8112.5199;1.9944;7814.9194;72.9852;986649.271;77.077;-1;8075.701698549791;36.81820145020902
6;21;15;36;P;-20251.045;13.114;8307.8692;0.3643;10413.0962;13.1124;978259.610;14.078;1;8312.215487993584;-4.346287993585065
4;20;16;36;S;-30664.141;0.188;8575.39;0.0052;-1142.1329;0.1893;967080.692;0.201;-1;8601.82218245649;-26.43218245649041
2;19;17;36;Cl;-29522.008;0.036;8521.9322;0.0010;709.5343;0.0449;968306.822;0.038;1;8529.706967123693;-7.774767123693891
0;18;18;36;Ar;-30231.542;0.027;8519.9096;0.0008;-12814.3607;0.3259;967545.106;0.028;-1;8510.684656810008;9.2249431899927
-2;17;19;36;K;-17417.182;0.325;8142.2233;0.0090;-10966.0155;40.0013;981301.887;0.349;1;8129.940436700622;12.282863299377823
-4;16;20;36;Ca;-6451.166;40.000;7815.8799;1.1111;-22601;303;993074.388;42.941;-1;7802.289121610348;13.59077838965186
-6;15;21;36;Sc;16150;300;7166.0;8;*;;017338;322;1;7112.91589672437;53.084103275629786
15;26;11;37;Na;53134;687;6403.0;19;24923;980;057042;737;0;5847.437092314499;555.5629076855012
13;25;12;37;Mg;28211.478;698.947;7055.1115;18.8905;18401.9132;721.8139;030286.265;750.350;0;6673.328835577358;381.7826644226416
11;24;13;37;Al;9809.564;180.244;7531.316;4.8715;16381.0765;213.1678;010531.000;193.500;0;7352.940894940629;178.37510505937098
9;23;14;37;Si;-6571.512;113.809;7952.9033;3.0759;12424.5003;119.9691;992945.191;122.179;0;7886.273270404312;66.63002959568803
7;22;15;37;P;-18996.012;37.948;8267.5561;1.0256;7900.4135;37.9474;979606.942;40.738;0;8273.32596196841;-5.769861968410623
5;21;16;37;S;-26896.426;0.198;8459.9363;0.0054;4865.1258;0.1965;971125.500;0.212;0;8514.09896963292;-54.16266963292037
3;20;17;37;Cl;-31761.552;0.052;8570.2816;0.0014;-813.8729;0.2000;965902.573;0.055;0;8608.592293397844;-38.31069339784335
1;19;18;37;Ar;-30947.679;0.207;8527.1406;0.0056;-6147.4775;0.2270;966776.301;0.221;0;8556.805933263178;-29.665333263177672
-1;18;19;37;K;-24800.201;0.094;8339.848;0.0025;-11664.1314;0.6412;973375.890;0.100;0;8358.739889228927;-18.89188922892754
-3;17;20;37;Ca;-13136.070;0.634;8003.4567;0.0171;-16916;300;985897.849;0.680;0;8014.39416129509;-10.937461295090543
-5;16;21;37;Sc;3780;300;7525.0;8;-21390;500;004058;322;0;7523.768749461666;1.2312505383342796
-7;15;22;37;Ti;25170;400;6926.0;11;*;;027021;429;0;6886.863653728654;39.136346271346156
16;27;11;38;Na;61905;715;6216.0;19;27831;875;066458;768;1;5570.83716889376;645.1628311062404
14;26;12;38;Mg;34074;503;6928.0;13;17604;525;036580;540;-1;6511.630227046961;416.3697729530386
12;25;13;38;Al;16470;150;7370.0;4;20640;183;017681;161;1;7122.308640371613;247.69135962838664
10;24;14;38;Si;-4170.299;104.793;7892.8297;2.7577;10451.2656;127.4736;995523.000;112.500;-1;7785.373443954989;107.45625604501129
8;23;15;38;P;-14621.565;72.581;8147.2749;1.9100;12239.6512;72.9340;984303.105;77.918;1;8118.323602709811;28.95129729018936
6;22;16;38;S;-26861.216;7.172;8448.7829;0.1887;2936.9000;7.1714;971163.300;7.699;-1;8503.660151723358;-54.8772517233574
4;21;17;38;Cl;-29798.116;0.098;8505.4817;0.0026;4916.7109;0.2182;968010.408;0.105;1;8558.882055908352;-53.40035590835214
2;20;18;38;Ar;-34714.827;0.195;8614.2807;0.0051;-5914.0671;0.0448;962732.102;0.209;-1;8666.490350352073;-52.20965035207337
0;19;19;38;K;-28800.760;0.195;8438.0593;0.0051;-6742.2563;0.0626;969081.114;0.209;1;8443.983999967239;-5.924699967237757
-2;18;20;38;Ca;-22058.503;0.194;8240.0434;0.0051;-17809;200;976319.223;0.208;-1;8273.864039841132;-33.8206398411312
-4;17;21;38;Sc;-4249;200;7751.0;5;-15619;361;995438;215;1;7773.629434886469;-22.629434886469426
-6;16;22;38;Ti;11370;300;7319.0;8;*;;012206;322;-1;7325.781220190532;-6.781220190531712
17;28;11;39;Na;69977;743;6056.0;19;27201;903;075123;797;0;5391.722543028102;664.2774569718977
15;27;12;39;Mg;42775;513;6734.0;13;21286;594;045921;551;0;6253.146091694982;480.8539083050182
13;26;13;39;Al;21490;300;7260.0;8;19169;329;023070;322;0;6982.5641072470535;277.43589275294653
11;25;14;39;Si;2320.352;135.532;7730.9793;3.4752;15094.9874;176.2324;002491.000;145.500;0;7579.976589684317;151.00271031568263
9;24;15;39;P;-12774.636;112.645;8097.9701;2.8883;10388.0361;123.2430;986285.865;120.929;0;8045.3835390067725;52.58656099322707
7;23;16;39;S;-23162.672;50.000;8344.2698;1.2821;6637.5463;50.0300;975133.850;53.677;0;8378.784955214418;-34.51515521441797
5;22;17;39;Cl;-29800.218;1.732;8494.4032;0.0444;3441.9774;5.2915;968008.151;1.859;0;8580.180838307257;-85.77763830725598
3;21;18;39;Ar;-33242.195;5.000;8562.5988;0.1282;565.0000;5.0000;964313.037;5.367;0;8649.571188285283;-86.97238828528316
1;20;19;39;K;-33807.19535;0.00456;8557.0258;0.0003;-6524.4888;0.5962;963706.48482;0.00489;0;8586.956005148504;-29.930205148504683
-1;19;20;39;Ca;-27282.707;0.596;8369.6711;0.0153;-13109.9804;24.0074;970710.811;0.640;0;8392.335288896917;-22.66418889691704
-3;18;21;39;Sc;-14172.726;24.000;8013.4575;0.6154;-16673;202;984784.953;25.765;0;8065.7090395305195;-52.25153953051904
-5;17;22;39;Ti;2500;200;7566.0;5;-20070;447;002684;215;0;7607.077257049314;-41.07725704931363
-7;16;23;39;V;22570;400;7031.0;10;*;;024230;429;0;7016.439941453299;14.56005854670093
16;28;12;40;Mg;49550;500;6598.0;13;20729;583;053194;537;-1;6086.572811713437;511.42718828656325
14;27;13;40;Al;28820;300;7097.0;7;23154;324;030940;322;1;6747.413305527441;349.58669447255943
12;26;14;40;Si;5666.876;121.991;7655.8247;3.0498;13806.0653;147.8912;006083.641;130.962;-1;7459.692089774772;196.13261022522784
10;25;15;40;P;-8139.189;83.607;7981.4177;2.0902;14698.6603;83.7017;991262.221;89.755;1;7869.234066516573;112.183633483427
8;24;16;40;S;-22837.850;3.982;8329.3255;0.0996;4719.9687;32.3118;975482.561;4.274;-1;8330.214333691698;-0.8888336916970729
