N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene
40;124;84;208;Po;-17469.596;1.737;7839.358;0.008;-4999.725;9.086;207;981245.616;1.864;-1;8078.355558937766;-238.99755893776546
38;123;85;208;At;-12469.871;8.921;7811.56;0.043;-2814.279;14.269;207;986613.042;9.577;1;8064.035837838672;-252.4758378386714
36;122;86;208;Rn;-9655.591;11.138;7794.268;0.054;-6989.672;16.251;207;989634.295;11.957;-1;8059.28932972402;-265.0213297240198
34;121;87;208;Fr;-2665.919;11.834;7756.903;0.057;-4393.774;14.881;207;997138.018;12.704;1;8034.247562489382;-277.34456248938204
32;120;88;208;Ra;1727.856;9.023;7732.017;0.043;-9025.380;56.442;208;001854.929;9.686;-1;8018.779008239186;-286.7620082391859
30;119;89;208;Ac;10753.235;55.716;7684.865;0.268;-5930.495;65.370;208;011544.073;59.813;1;7983.015194868997;-298.15019486899746
28;118;90;208;Th;16683.730;34.190;7652.592;0.164;*;;208;017910.722;36.704;-1;7956.824594483256;-304.23259448325643
51;130;79;209;Au;-2540;400;7788.0;2;6104;426;208;997273;429;0;8013.863724859921;-225.8637248599207
49;129;80;209;Hg;-8644;149;7813.0;1;5000;149;208;990720;160;0;8035.480155828324;-222.4801558283243
47;128;81;209;Tl;-13644.757;6.110;7833.397;0.029;3969.889;6.211;208;985351.750;6.559;0;8051.783345189338;-218.3863451893385
45;127;82;209;Pb;-17614.646;1.747;7848.648;0.008;644.016;1.146;208;981089.898;1.875;0;8062.773292942962;-214.125292942962
43;126;83;209;Bi;-18258.662;1.364;7847.987;0.007;-1892.570;1.564;208;980398.519;1.464;0;8068.4499990891945;-220.46299908919445
41;125;84;209;Po;-16366.092;1.778;7835.188;0.009;-3483.478;5.287;208;982430.276;1.908;0;8068.813463628036;-233.6254636280355
39;124;85;209;At;-12882.613;5.102;7814.777;0.024;-3941.564;11.188;208;986169.944;5.477;0;8063.863686559486;-249.08668655948622
37;123;86;209;Rn;-8941.049;9.960;7792.175;0.048;-5171.477;17.713;208;990401.388;10.692;0;8053.600667883546;-261.42566788354543
35;122;87;209;Fr;-3769.572;14.648;7763.688;0.070;-5627.791;15.730;208;995953.197;15.725;0;8038.0244076002145;-274.33640760021444
33;121;88;209;Ra;1858.219;5.747;7733.017;0.027;-6985.590;50.934;209;001994.879;6.169;0;8017.134905709492;-284.11790570949233
31;120;89;209;Ac;8843.809;50.608;7695.85;0.242;-7523;148;209;009494.220;54.330;0;7990.9321622113775;-295.0821622113772
29;119;90;209;Th;16367;140;7656.0;1;*;;209;017571;150;0;7959.416177105874;-303.41617710587434
52;131;79;210;Au;2329;401;7766.0;2;7694;446;210;002500;430;1;7995.094313707406;-229.0943137074064
50;130;80;210;Hg;-5365;196;7799.0;1;3882;196;209;994240;210;-1;8025.703265921667;-226.70326592166657
48;129;81;210;Tl;-9246.969;11.604;7813.588;0.055;5481.534;11.561;209;990072.970;12.456;1;8036.324699926682;-222.73669992668238
46;128;82;210;Pb;-14728.502;1.447;7835.965;0.007;63.476;0.499;209;984188.301;1.553;-1;8056.401412921064;-220.4364129210635
44;127;83;210;Bi;-14791.979;1.363;7832.542;0.006;1161.159;0.766;209;984120.156;1.462;1;8056.490607706202;-223.94860770620198
42;126;84;210;Po;-15953.137;1.146;7834.346;0.005;-3980.960;7.610;209;982873.601;1.230;-1;8066.035081480706;-231.6890814807066
40;125;85;210;At;-11972.177;7.695;7811.663;0.037;-2367.407;8.922;209;987147.338;8.261;1;8055.592037045965;-243.92903704596574
38;124;86;210;Rn;-9604.770;4.557;7796.665;0.022;-6271.565;15.824;209;989688.854;4.892;-1;8054.60427160059;-257.9392716005905
36;123;87;210;Fr;-3333.205;15.154;7763.075;0.072;-3775.997;17.720;209;996421.657;16.268;1;8033.628987945975;-270.55398794597477
34;122;88;210;Ra;442.792;9.193;7741.368;0.044;-8346.908;58.133;210;000475.356;9.868;-1;8022.108983280722;-280.7409832807216
32;121;89;210;Ac;8789.699;57.402;7697.896;0.273;-5269.747;60.436;210;009436.130;61.623;1;7990.601460406225;-292.70546040622503
30;120;90;210;Th;14059.446;18.909;7669.076;0.090;*;;210;015093.437;20.299;-1;7968.549216521094;-299.4732165210944
51;131;80;211;Hg;-624;196;7778.0;1;5454;200;210;999330;210;0;8008.066837460362;-230.06683746036197
49;130;81;211;Tl;-6077.998;41.917;7799.791;0.199;4414.950;41.978;210;993475.000;45.000;0;8027.69585434352;-227.90485434352013
47;129;82;211;Pb;-10492.948;2.261;7817.007;0.011;1366.183;5.471;210;988735.356;2.426;0;8042.105226386219;-225.09822638621972
45;128;83;211;Bi;-11859.131;5.442;7819.774;0.026;573.439;5.430;210;987268.698;5.842;0;8051.294953588456;-231.520953588456
43;127;84;211;Po;-12432.571;1.255;7818.784;0.006;-785.307;2.539;210;986653.085;1.347;0;8055.265035950231;-236.48103595023167
41;126;85;211;At;-11647.264;2.729;7811.354;0.013;-2891.860;6.894;210;987496.147;2.929;0;8054.015473471548;-242.66147347154765
39;125;86;211;Rn;-8755.404;6.813;7793.941;0.032;-4615.155;13.786;210;990600.686;7.314;0;8047.5462661524;-253.60526615239996
37;124;87;211;Fr;-4140.249;11.991;7768.36;0.057;-4972.272;14.369;210;995555.259;12.872;0;8035.857413992794;-267.49741399279446
35;123;88;211;Ra;832.023;7.918;7741.087;0.038;-6370.191;53.564;211;000893.213;8.500;0;8018.948916992726;-277.8619169927251
33;122;89;211;Ac;7202.214;52.976;7707.189;0.251;-6707.958;90.205;211;007731.894;56.871;0;7996.820775152193;-289.63177515219286
31;121;90;211;Th;13910.171;73.010;7671.69;0.346;-8170;126;211;014933.183;78.379;0;7969.472988471204;-297.7829884712046
29;120;91;211;Pa;22080;102;7629.0;0;*;;211;023704;110;0;7936.9055569497505;-307.90555694975046
52;132;80;212;Hg;2757;298;7763.0;1;4308;359;212;002960;320;-1;7997.2562077631555;-234.25620776315554
