N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene
16;78;62;140;Sm;-75455.935;12.497;8263.82;0.089;-8470.000;50.000;139;918994.717;13.416;-1;8489.44026600872;-225.62026600872014
14;77;63;140;Eu;-66985.935;51.538;8197.732;0.368;-5203.664;58.627;139;928087.637;55.328;1;8433.4502169476;-235.7182169476
12;76;64;140;Gd;-61782.271;27.945;8154.975;0.200;-11300.000;800.000;139;933674.000;30.000;-1;8393.21990845631;-238.24490845631044
10;75;65;140;Tb;-50482.271;800.488;8068.672;5.718;-7652;895;139;945805.049;859.359;1;8314.659468232228;-245.98746823222882
8;74;66;140;Dy;-42830;401;8008.0;3;-13571;643;139;954020;430;-1;8251.858768577975;-243.85876857797484
6;73;67;140;Ho;-29259;503;7906.0;4;*;;139;968589;540;1;8150.727937190931;-244.7279371909308
39;90;51;141;Sb;-39110;500;8066.0;4;11377;641;140;958014;537;0;8169.9588568008785;-103.9588568008785
37;89;52;141;Te;-50487;401;8141.0;3;9440;401;140;945800;430;0;8254.703384475912;-113.70338447591166
35;88;53;141;I;-59926.657;15.835;8202.255;0.112;8270.642;16.097;140;935666.084;17.000;0;8328.313708253982;-126.05870825398233
33;87;54;141;Xe;-68197.299;2.888;8255.364;0.020;6280.224;9.638;140;926787.184;3.100;0;8390.78982813508;-135.42582813508125
31;86;55;141;Cs;-74477.523;9.195;8294.356;0.065;5255.103;9.617;140;920045.086;9.871;0;8442.131744119217;-147.77574411921705
29;85;56;141;Ba;-79732.626;5.319;8326.078;0.038;3199.010;6.600;140;914403.500;5.710;0;8482.339456206386;-156.26145620638636
27;84;57;141;La;-82931.636;4.219;8343.217;0.030;2501.280;3.928;140;910969.222;4.528;0;8511.41296439659;-168.19596439658926
25;83;58;141;Ce;-85432.916;1.597;8355.408;0.011;582.728;1.202;140;908283.987;1.714;0;8529.352268689825;-173.94426868982555
23;82;59;141;Pr;-86015.644;1.665;8353.992;0.012;-1823.014;2.809;140;907658.403;1.787;0;8536.157369086097;-182.1653690860967
21;81;60;141;Nd;-84192.630;3.265;8335.515;0.023;-3669.709;14.349;140;909615.488;3.505;0;8531.828265585402;-196.3132655854024
19;80;61;141;Pm;-80522.921;13.972;8303.94;0.099;-4589.012;16.375;140;913555.084;15.000;0;8516.36495818774;-212.42495818773932
17;79;62;141;Sm;-75933.909;8.539;8265.845;0.061;-6008.280;14.285;140;918481.591;9.167;0;8489.767446893113;-223.92244689311337
15;78;63;141;Eu;-69925.629;12.639;8217.684;0.090;-6701.405;23.456;140;924931.745;13.568;0;8452.035731701517;-234.35173170151756
13;77;64;141;Gd;-63224.224;19.760;8164.608;0.140;-8683.387;107.098;140;932126.000;21.213;0;8403.169812612958;-238.5618126129575
11;76;65;141;Tb;-54540.837;105.259;8097.475;0.747;-9158;316;140;941448.000;113.000;0;8343.16968962743;-245.6946896274294
9;75;66;141;Dy;-45382;298;8027.0;2;-11018;499;140;951280;320;0;8272.035362744937;-245.03536274493672
7;74;67;141;Ho;-34364;401;7943.0;3;*;;140;963108;430;0;8189.766831965479;-246.76683196547856
38;90;52;142;Te;-46370;503;8111.0;4;8400;627;141;950220;540;-1;8228.530999843539;-117.53099984353867
36;89;53;142;I;-54769.984;374.461;8165.019;2.637;10459.655;374.470;141;941202.000;402.000;1;8292.032989804417;-127.01398980441627
34;88;54;142;Xe;-65229.639;2.701;8233.169;0.019;5284.911;7.565;141;929973.098;2.900;-1;8371.024249287548;-137.85524928754785
32;87;55;142;Cs;-70514.550;7.067;8264.877;0.050;7327.714;8.363;141;924299.512;7.586;1;8412.553616529989;-147.67661652998868
30;86;56;142;Ba;-77842.264;5.920;8310.971;0.042;2181.963;8.391;141;916432.888;6.355;-1;8469.572253294684;-158.60125329468428
28;85;57;142;La;-80024.227;6.309;8320.828;0.044;4508.961;5.845;141;914090.454;6.773;1;8489.128997818689;-168.3009978186892
26;84;58;142;Ce;-84533.188;2.509;8347.071;0.018;-745.712;2.500;141;909249.884;2.693;-1;8524.175011864949;-177.10401186494892
24;83;59;142;Pr;-83787.476;1.665;8336.31;0.012;2162.505;1.416;141;910050.440;1.786;1;8521.759133670517;-185.44913367051777
22;82;60;142;Nd;-85949.980;1.368;8346.03;0.010;-4807.936;23.629;141;907728.895;1.468;-1;8534.832524998339;-188.8025249983384
20;81;61;142;Pm;-81142.044;23.597;8306.662;0.166;-2155.574;23.752;141;912890.428;25.332;1;8510.444024085473;-203.78202408547259
18;80;62;142;Sm;-78986.470;3.079;8285.972;0.022;-7673.000;30.000;141;915204.532;3.305;-1;8501.54479269486;-215.57279269486025
16;79;63;142;Eu;-71313.470;30.158;8226.427;0.212;-4353.955;41.114;141;923441.836;32.375;1;8455.183669063557;-228.75666906355764
14;78;64;142;Gd;-66959.515;27.945;8190.256;0.197;-10400.000;700.000;141;928116.000;30.000;-1;8424.311814954508;-234.0558149545077
12;77;65;142;Tb;-56559.515;700.558;8111.507;4.934;-6440;200;141;939280.859;752.079;1;8355.978068604769;-244.47106860476924
10;76;66;142;Dy;-50120;729;8061.0;5;-12869;831;141;946194;782;-1;8303.133591777283;-242.13359177728307
8;75;67;142;Ho;-37250;401;7965.0;3;-9221;641;141;960010;430;1;8212.827222709107;-247.82722270910745
6;74;68;142;Er;-28030;500;7894.0;4;*;;141;969909;537;-1;8138.010123163186;-244.0101231631861
39;91;52;143;Te;-40278;503;8068.0;4;10353;541;142;956760;540;0;8188.3393446812715;-120.33934468127154
37;90;53;143;I;-50630;200;8135.0;1;9572;200;142;945646;215;0;8268.1151676948;-133.1151676947993
35;89;54;143;Xe;-60202.873;4.657;8196.885;0.033;7472.636;8.891;142;935369.553;5.000;0;8337.04955783333;-140.16455783333004
33;88;55;143;Cs;-67675.509;7.573;8243.67;0.053;6261.688;9.730;142;927347.348;8.130;0;8395.142515096859;-151.47251509685884
31;87;56;143;Ba;-73937.197;6.756;8281.987;0.047;4234.318;9.969;142;920625.150;7.253;0;8442.394039485385;-160.40703948538612
29;86;57;143;La;-78171.515;7.330;8306.127;0.051;3435.156;7.595;142;916079.422;7.869;0;8478.804130998915;-172.67713099891444
27;85;58;143;Ce;-81606.671;2.508;8324.678;0.018;1461.575;1.866;142;912391.630;2.692;0;8504.372789637442;-179.69478963744223
25;84;59;143;Pr;-83068.246;1.897;8329.428;0.013;933.988;1.368;142;910822.564;2.037;0;8519.10001540097;-189.67201540097085
23;83;60;143;Nd;-84002.234;1.367;8330.488;0.010;-1041.583;2.682;142;909819.887;1.467;0;8522.985808289499;-192.49780828949952
21;82;61;143;Pm;-82960.651;2.996;8317.733;0.021;-3443.499;3.560;142;910938.073;3.216;0;8516.030168303023;-198.29716830302277
19;81;62;143;Sm;-79517.152;2.804;8288.182;0.020;-5275.851;11.338;142;914634.821;3.010;0;8498.23309544155;-210.05109544154948
17;80;63;143;Eu;-74241.300;10.986;8245.817;0.077;-6010.000;200.000;142;920298.681;11.793;0;8469.594589705077;-223.77758970507784
15;79;64;143;Gd;-68231.300;200.301;8198.318;1.401;-7812.117;206.750;142;926750.682;215.032;0;8430.114651093601;-231.79665109360212
13;78;65;143;Tb;-60419.183;51.232;8138.217;0.358;-8250.242;52.866;142;935137.335;55.000;0;8379.793279607127;-241.57627960712762
11;77;66;143;Dy;-52168.941;13.041;8075.052;0.091;-10121;298;142;943994.335;14.000;0;8318.630475245653;-243.57847524565295
9;76;67;143;Ho;-42048;298;7999.0;2;-10788;499;142;954860;320;0;8246.626238009178;-247.62623800917754
7;75;68;143;Er;-31260;400;7918.0;3;*;;142;966441;429;0;8163.780567897701;-245.78056789770108
38;91;53;144;I;-45280;401;8098.0;3;11592;401;143;951390;430;1;8230.267174210034;-132.26717421003377
36;90;54;144;Xe;-56872.293;5.310;8172.884;0.037;6399.060;20.820;143;938945.079;5.700;-1;8315.252066406276;-142.36806640627583
34;89;55;144;Cs;-63271.353;20.132;8211.889;0.140;8495.768;20.416;143;932075.404;21.612;1;8363.611546410957;-151.72254641095788
32;88;56;144;Ba;-71767.121;7.136;8265.454;0.050;3082.530;14.774;143;922954.821;7.661;-1;8427.197466075939;-161.74346607593907
30;87;57;144;La;-74849.652;12.937;8281.428;0.090;5582.219;13.254;143;919645.589;13.888;1;8454.157973549361;-172.7299735493616
28;86;58;144;Ce;-80431.870;2.885;8314.76;0.020;318.646;0.832;143;913652.830;3.096;-1;8496.344920683085;-181.58492068308442
26;85;59;144;Pr;-80750.517;2.762;8311.54;0.019;2997.440;2.400;143;913310.750;2.965;1;8501.90645562525;-190.36645562524973
24;84;60;144;Nd;-83747.957;1.367;8326.922;0.009;-2331.863;2.646;143;910092.865;1.467;-1;8522.694430227715;-195.77243022771472
22;83;61;144;Pm;-81416.093;2.964;8305.296;0.021;549.442;2.668;143;912596.224;3.181;1;8506.85699263862;-201.56099263862052
20;82;62;144;Sm;-81965.535;1.554;8303.679;0.011;-6346.402;10.814;143;912006.373;1.668;-1;8506.245994709827;-202.56699470982676
18;81;63;144;Eu;-75619.133;10.789;8254.173;0.075;-3859.630;29.955;143;918819.517;11.582;1;8469.009584589476;-214.83658458947502
16;80;64;144;Gd;-71759.504;27.945;8221.937;0.194;-9391.323;39.520;143;922963.000;30.000;-1;8446.99961412942;-225.06261412941967
14;79;65;144;Tb;-62368.181;27.945;8151.287;0.194;-5798.098;28.851;143;933045.000;30.000;1;8388.36423147781;-237.07723147780962
12;78;66;144;Dy;-56570.083;7.173;8105.589;0.050;-11960.569;11.104;143;939269.514;7.700;-1;8344.955288486497;-239.36628848649707
10;77;67;144;Ho;-44609.513;8.477;8017.097;0.059;-8002;196;143;952109.714;9.100;1;8264.920933303629;-247.82393330362902
8;76;68;144;Er;-36608;196;7956.0;1;-14349;445;143;960700;210;-1;8200.113017781057;-244.11301778105735
6;75;69;144;Tm;-22259;400;7851.0;3;*;;143;976104;429;1;8098.679690066931;-247.67969006693056
39;92;53;145;I;-40939;503;8068.0;3;10554;503;144;956050;540;0;8204.595468090694;-136.59546809069434
37;91;54;145;Xe;-51493.329;11.178;8135.087;0.077;8561.086;14.393;144;944719.634;12.000;0;8279.61448819003;-144.52748819003045
35;90;55;145;Cs;-60054.415;9.067;8188.733;0.063;7461.761;12.412;144;935528.930;9.733;0;8344.073116141695;-155.34011614169503
33;89;56;145;Ba;-67516.176;8.477;8234.798;0.058;5319.141;14.912;144;927518.400;9.100;0;8397.971351945682;-163.17335194568113
31;88;57;145;La;-72835.317;12.269;8266.087;0.085;4231.705;35.300;144;921808.066;13.170;0;8441.309195601993;-175.222195601993
29;87;58;145;Ce;-77067.022;33.902;8289.875;0.234;2558.918;33.635;144;917265.144;36.395;0;8474.086647110627;-184.21164711062738
27;86;59;145;Pr;-79625.940;7.169;8302.127;0.049;1806.012;7.037;144;914518.033;7.696;0;8496.303706471586;-194.17670647158593
25;85;60;145;Nd;-81431.951;1.384;8309.187;0.010;-164.478;2.536;144;912579.199;1.485;0;8507.960373684871;-198.77337368487133
23;84;61;145;Pm;-81267.474;2.859;8302.657;0.020;-616.156;2.539;144;912755.773;3.068;0;8509.056648750477;-206.39964875047735
21;83;62;145;Sm;-80651.318;1.578;8293.013;0.011;-2659.810;2.723;144;913417.244;1.694;0;8499.59253166841;-206.5795316684089
19;82;63;145;Eu;-77991.507;3.106;8269.274;0.021;-5065.187;19.953;144;916272.668;3.334;0;8479.568022438669;-210.29402243866934
17;81;64;145;Gd;-72926.320;19.709;8228.946;0.136;-6537.909;108.066;144;921710.370;21.158;0;8448.983121061246;-220.03712106124658
15;80;65;145;Tb;-66388.411;109.174;8178.461;0.753;-8145.812;109.369;144;928729.105;117.203;0;8407.83782753615;-229.3768275361499
13;79;66;145;Dy;-58242.599;6.520;8116.888;0.045;-9122.493;9.902;144;937473.994;7.000;0;8356.132141863378;-239.244141863378
11;78;67;145;Ho;-49120.105;7.452;8048.578;0.051;-9880;200;144;947267.394;8.000;0;8293.866064042932;-245.28806404293118
9;77;68;145;Er;-39240;200;7975.0;1;-11657;280;144;957874;215;0;8221.039594074808;-246.0395940748076
7;76;69;145;Tm;-27583;196;7889.0;1;*;;144;970389;210;0;8137.652731959008;-248.65273195900772
38;92;54;146;Xe;-47954.943;24.219;8110.415;0.166;7355.429;24.391;145;948518.248;26.000;-1;8255.974082974271;-145.5590829742714
36;91;55;146;Cs;-55310.372;2.893;8155.436;0.020;9636.714;21.063;145;940621.870;3.106;1;8310.78098317346;-155.3449831734597
34;90;56;146;Ba;-64947.086;20.863;8216.082;0.143;4103.197;33.503;145;930276.431;22.397;-1;8380.55883955974;-164.47683955974026
32;89;57;146;La;-69050.283;33.616;8238.828;0.230;6585.107;34.456;145;925871.468;36.088;1;8414.517592120255;-175.68959212025584
30;88;58;146;Ce;-75635.389;16.306;8278.573;0.112;1045.616;32.519;145;918802.065;17.504;-1;8463.447300867865;-184.8743008678648
28;87;59;146;Pr;-76681.006;34.816;8280.376;0.238;4244.861;34.830;145;917679.549;37.376;1;8476.557905789714;-196.1819057897137
26;86;60;146;Nd;-80925.867;1.386;8304.092;0.009;-1471.558;4.119;145;913122.503;1.488;-1;8504.639466898652;-200.5474668986517
24;85;61;146;Pm;-79454.309;4.308;8288.654;0.030;1542.000;3.000;145;914702.286;4.624;1;8496.90192418183;-208.24792418182915
22;84;62;146;Sm;-80996.309;3.092;8293.857;0.021;-3878.768;5.869;145;913046.881;3.319;-1;8504.135337652098;-210.27833765209834
20;83;63;146;Eu;-77117.541;6.026;8261.932;0.041;-1031.758;7.076;145;917210.909;6.468;1;8475.549647296604;-213.61764729660354
18;82;64;146;Gd;-76085.783;4.108;8249.506;0.028;-8322.173;44.749;145;918318.548;4.409;-1;8461.934913128205;-212.42891312820575
16;81;65;146;Tb;-67763.610;44.862;8187.146;0.307;-5208.691;45.160;145;927252.768;48.161;1;8412.50107513404;-225.3550751340399
14;80;66;146;Dy;-62554.918;6.695;8146.112;0.046;-11316.699;9.392;145;932844.529;7.187;-1;8378.038193326971;-231.92619332697086
12;79;67;146;Ho;-51238.219;6.587;8063.242;0.045;-6916.206;9.399;145;944993.506;7.071;1;8307.756207694136;-244.51420769413562
10;78;68;146;Er;-44322.012;6.705;8010.512;0.046;-13267;200;145;952418.359;7.197;-1;8252.445178248394;-241.93317824839414
8;77;69;146;Tm;-31055;200;7914.0;1;*;;145;966661;215;1;8161.31504497689;-247.31504497689002
39;93;54;147;Xe;-42360;200;8072.0;1;9560;200;146;954525;215;0;8218.84525221259;-146.8452522125899
37;92;55;147;Cs;-51920.064;8.383;8131.8;0.057;8343.965;21.454;146;944261.515;9.000;0;8289.307854426832;-157.50785442683173
35;91;56;147;Ba;-60264.029;19.748;8183.24;0.134;6414.361;22.466;146;935303.900;21.200;0;8349.479999488914;-166.2399994889147
33;90;57;147;La;-66678.390;10.712;8221.553;0.073;5335.501;13.725;146;928417.800;11.500;0;8399.361687398841;-177.80868739884136
31;89;58;147;Ce;-72013.891;8.580;8252.527;0.058;3430.176;15.533;146;922689.903;9.211;0;8438.95291815661;-186.42591815661035
29;88;59;147;Pr;-75444.067;15.857;8270.539;0.108;2702.681;15.860;146;919007.458;17.023;0;8468.253691762226;-197.7146917622249
27;87;60;147;Nd;-78146.748;1.388;8283.603;0.009;895.512;0.482;146;916106.010;1.490;0;8487.26400821568;-203.66100821568034
25;86;61;147;Pm;-79042.260;1.399;8284.372;0.010;224.094;0.293;146;915144.638;1.501;0;8495.983867516978;-211.61186751697824
23;85;62;147;Sm;-79266.354;1.372;8280.575;0.009;-1721.598;2.281;146;914904.064;1.473;0;8494.41326966612;-213.83826966611923
21;84;63;147;Eu;-77544.756;2.630;8263.541;0.018;-2187.811;2.524;146;916752.276;2.823;0;8482.552214663105;-219.01121466310542
19;83;64;147;Gd;-75356.945;1.965;8243.336;0.013;-4614.280;8.147;146;919100.987;2.109;0;8460.40070250793;-217.06470250793063
17;82;65;147;Tb;-70742.665;8.100;8206.624;0.055;-6546.628;11.997;146;924054.620;8.695;0;8427.958733200603;-221.3347332006033
15;81;66;147;Dy;-64196.038;8.849;8156.767;0.060;-8438.945;10.164;146;931082.715;9.500;0;8385.226306741113;-228.45930674111332
13;80;67;147;Ho;-55757.092;5.001;8094.037;0.034;-9149.286;38.517;146;940142.295;5.368;0;8332.203423129471;-238.1664231294708
11;79;68;147;Er;-46607.807;38.191;8026.475;0.260;-10633.406;38.799;146;949964.458;41.000;0;8268.89008236567;-242.41508236566915
9;78;69;147;Tm;-35974.400;6.839;7948.817;0.047;*;;146;961379.890;7.341;0;8195.286284449709;-246.46928444970854
40;94;54;148;Xe;-38600;300;8047.0;2;8311;300;147;958561;322;-1;8193.535111520288;-146.5351115202884
38;93;55;148;Cs;-46910.942;13.041;8097.546;0.088;10682.793;64.413;147;949639.029;14.000;1;8254.429992514612;-156.88399251461124
36;92;56;148;Ba;-57593.735;63.079;8164.441;0.426;5115.000;60.000;147;938170.578;67.718;-1;8330.047411910538;-165.60641191053855
34;91;57;148;La;-62708.735;19.468;8193.716;0.132;7689.672;22.457;147;932679.400;20.900;1;8370.623351929153;-176.90735192915236
32;90;58;148;Ce;-70398.408;11.195;8240.387;0.076;2137.016;12.567;147;924424.196;12.018;-1;8425.921830349376;-185.53483034937562
30;89;59;148;Pr;-72535.424;15.043;8249.54;0.102;4872.572;15.090;147;922130.015;16.148;1;8446.178829392285;-196.6388293922846
28;88;60;148;Nd;-77407.996;2.127;8277.177;0.014;-542.280;5.874;147;916899.093;2.283;-1;8481.158366836802;-203.9813668368024
26;87;61;148;Pm;-76865.716;5.723;8268.226;0.039;2470.548;5.642;147;917481.255;6.143;1;8481.096424904006;-212.87042490400563
24;86;62;148;Sm;-79336.264;1.367;8279.633;0.009;-3036.933;10.019;147;914829.012;1.467;-1;8495.757021372816;-216.12402137281606
22;85;63;148;Eu;-76299.331;10.013;8253.827;0.068;-30.003;10.019;147;918089.294;10.748;1;8475.376138464317;-221.54913846431737
20;84;64;148;Gd;-76269.329;1.554;8248.338;0.011;-5732.246;12.529;147;918121.503;1.668;-1;8469.71779395742;-221.37979395741968
18;83;65;148;Tb;-70537.082;12.464;8204.321;0.084;-2677.532;9.596;147;924275.323;13.380;1;8429.017970073215;-224.6969700732152
16;82;66;148;Dy;-67859.550;8.724;8180.943;0.059;-9868.393;84.287;147;927149.772;9.366;-1;8403.040684590613;-222.09768459061252
14;81;67;148;Ho;-57991.158;83.834;8108.979;0.566;-6512.169;84.458;147;937743.928;90.000;1;8342.021919730701;-233.04291973070121
12;80;68;148;Er;-51478.989;10.246;8059.692;0.069;-12713.962;14.491;147;944735.029;11.000;-1;8295.725693272394;-236.03369327239398
10;79;69;148;Tm;-38765.027;10.246;7968.5;0.069;-8435;400;147;958384.029;11.000;1;8214.387987436776;-245.8879874367758
8;78;70;148;Yb;-30330;400;7906.0;3;*;;147;967439;429;-1;8147.772820002764;-241.7728200027641
39;94;55;149;Cs;-43250;400;8073.0;3;9870;593;148;953569;429;0;8231.198870958759;-158.19887095875856
37;93;56;149;Ba;-53120.309;437.802;8133.793;2.938;7099.605;481.431;148;942973.000;470.000;0;8297.294690940433;-163.50169094043304
35;92;57;149;La;-60219.913;200.262;8176.191;1.344;6450.000;200.000;148;935351.260;214.990;0;8353.359466382206;-177.16846638220613
33;91;58;149;Ce;-66669.913;10.246;8214.229;0.069;4369.452;14.230;148;928426.900;11.000;0;8399.393197284071;-185.16419728407163
31;90;59;149;Pr;-71039.366;9.874;8238.303;0.066;3336.100;10.101;148;923736.100;10.600;0;8435.395883646037;-197.09288364603708
29;89;60;149;Nd;-74375.466;2.128;8255.442;0.014;1688.790;2.455;148;920154.648;2.284;0;8461.367525468097;-205.92552546809748
27;88;61;149;Pm;-76064.256;2.267;8261.526;0.015;1071.481;1.875;148;918341.658;2.434;0;8477.308122750255;-215.78212275025544
25;87;62;149;Sm;-77135.737;1.311;8263.466;0.009;-694.625;3.788;148;917191.375;1.407;0;8483.21767549251;-219.7516754925091
23;86;63;149;Eu;-76441.112;3.951;8253.554;0.027;-1314.101;4.136;148;917937.086;4.241;0;8479.09618369486;-225.5421836948608
21;85;64;149;Gd;-75127.011;3.360;8239.484;0.023;-3638.343;4.339;148;919347.831;3.607;0;8464.943647357311;-225.45964735731104
19;84;65;149;Tb;-71488.669;3.667;8209.815;0.025;-3792.760;9.162;148;923253.753;3.936;0;8440.760066479854;-230.94506647985327
17;83;66;149;Dy;-67695.909;9.221;8179.109;0.062;-6049.330;12.803;148;927325.448;9.898;0;8406.545441062497;-227.43644106249667
15;82;67;149;Ho;-61646.578;11.990;8133.259;0.080;-7904.963;30.408;148;933819.672;12.871;0;8362.299771105234;-229.04077110523394
13;81;68;149;Er;-53741.615;27.945;8074.955;0.188;-9859;198;148;942306.000;30.000;0;8308.023056608066;-233.0680566080664
11;80;69;149;Tm;-43883;196;8004.0;1;-10684;358;148;952890;210;0;8243.715297571;-239.7152975709996
9;79;70;149;Yb;-33198;300;7927.0;2;*;;148;964360;322;0;8169.376493994026;-242.37649399402562
40;95;55;150;Cs;-38170;400;8039.0;3;11730;500;149;959023;429;1;8194.895939832099;-155.89593983209852
38;94;56;150;Ba;-49900;300;8112.0;2;6230;529;149;946430;322;-1;8276.021889472857;-164.02188947285686
36;93;57;150;La;-56129.966;435.473;8148.225;2.903;8716.888;435.631;149;939742.000;467.500;1;8322.856695596849;-174.63169559684866
34;92;58;150;Ce;-64846.854;11.697;8201.122;0.078;3453.625;14.291;149;930384.035;12.556;-1;8384.172420638166;-183.05042063816654
32;91;59;150;Pr;-68300.479;9.015;8218.931;0.060;5379.276;9.085;149;926676.415;9.678;1;8411.197002162718;-192.266002162718
30;90;60;150;Nd;-73679.755;1.289;8249.577;0.009;-82.616;20.001;149;920901.525;1.384;-1;8452.702502604598;-203.1255026045983
28;89;61;150;Pm;-73597.139;20.041;8243.81;0.134;3454.000;20.000;149;920990.217;21.514;1;8459.916859529714;-216.1068595297147
26;88;62;150;Sm;-77051.139;1.274;8261.621;0.009;-2258.905;6.181;149;917282.195;1.368;-1;8481.612135372152;-219.9911353721527
24;87;63;150;Eu;-74792.234;6.253;8241.346;0.042;971.700;3.543;149;919707.229;6.712;1;8469.01626769783;-227.67026769783115
22;86;64;150;Gd;-75763.934;6.076;8242.609;0.041;-4658.213;8.379;149;918664.066;6.523;-1;8470.901318940827;-228.2923189408266
20;85;65;150;Tb;-71105.721;7.384;8206.338;0.049;-1796.122;8.389;149;923664.864;7.927;1;8438.495226667066;-232.15722666706642
18;84;66;150;Dy;-69309.600;4.348;8189.149;0.029;-7363.719;14.468;149;925593.080;4.667;-1;8420.570053310626;-231.42105331062612
16;83;67;150;Ho;-61945.881;14.168;8134.842;0.094;-4114.568;13.591;149;933498.358;15.210;1;8368.353736437428;-233.51173643742823
14;82;68;150;Er;-57831.313;17.195;8102.195;0.115;-11340;196;149;937915.528;18.459;-1;8330.618338481549;-228.42333848154885
12;81;69;150;Tm;-46491;196;8021.0;1;-7852;358;149;950090;210;1;8258.591797008909;-237.59179700890854
10;80;70;150;Yb;-38638;300;7964.0;2;-13998;424;149;958520;322;-1;8201.046174453591;-237.04617445359145
8;79;71;150;Lu;-24640;300;7865.0;2;*;;149;973548;322;1;8109.209408381512;-244.20940838151182
41;96;55;151;Cs;-34230;500;8013.0;3;10710;640;150;963253;537;0;8170.069023500549;-157.0690235005486
39;95;56;151;Ba;-44940;400;8079.0;3;8370;591;150;951755;429;0;8241.759263359687;-162.75926335968688
37;94;57;151;La;-53310.333;435.473;8129.043;2.884;7914.718;435.833;150;942769.000;467.500;0;8303.66789427171;-174.62489427171022
35;93;58;151;Ce;-61225.052;17.698;8176.277;0.117;5554.578;21.189;150;934272.200;19.000;0;8355.794916236624;-179.51791623662393
33;92;59;151;Pr;-66779.630;11.651;8207.881;0.077;4163.358;11.689;150;928309.114;12.507;0;8398.140329254424;-190.2593292544243
31;91;60;151;Nd;-70942.988;1.293;8230.272;0.009;2443.075;4.473;150;923839.565;1.387;0;8430.704133325113;-200.43213332511186
29;90;61;151;Pm;-73386.063;4.653;8241.27;0.031;1190.217;4.476;150;921216.817;4.994;0;8453.486328448691;-212.21632844869055
27;89;62;151;Sm;-74576.279;1.273;8243.971;0.008;76.574;0.538;150;919939.066;1.367;0;8466.486914625157;-222.51591462515717
25;88;63;151;Eu;-74652.854;1.325;8239.297;0.009;-464.116;2.779;150;919856.860;1.422;0;8469.70589185451;-230.40889185450942
23;87;64;151;Gd;-74188.737;3.056;8231.043;0.020;-2565.233;3.762;150;920355.109;3.280;0;8463.143260136752;-232.1002601367527
21;86;65;151;Tb;-71623.504;4.137;8208.873;0.027;-2871.099;4.944;150;923109.001;4.441;0;8446.799019471882;-237.92601947188268
19;85;66;151;Dy;-68752.405;3.293;8184.678;0.022;-5129.667;8.756;150;926191.253;3.535;0;8420.673169859901;-235.99516985990158
17;84;67;151;Ho;-63622.738;8.302;8145.526;0.055;-5356.454;18.444;150;931698.177;8.912;0;8384.765711300808;-239.23971130080827
15;83;68;151;Er;-58266.284;16.470;8104.872;0.109;-7493.528;25.460;150;937448.567;17.681;0;8339.076643794602;-234.2046437946019
13;82;69;151;Tm;-50772.756;19.416;8050.064;0.129;-9230.414;300.136;150;945493.201;20.843;0;8283.605967341287;-233.5419673412871
11;81;70;151;Yb;-41542.342;300.492;7983.755;1.990;-11434;425;150;955402.458;322.591;0;8218.353681940858;-234.5986819408581
9;80;71;151;Lu;-30108;300;7903.0;2;*;;150;967677;322;0;8143.3197875933165;-240.3197875933165
42;97;55;152;Cs;-28930;500;7979.0;3;12780;640;151;968942;537;1;8132.488227841717;-153.48822784171716
40;96;56;152;Ba;-41710;400;8057.0;3;7580;500;151;955222;429;-1;8218.811518028715;-161.811518028715
38;95;57;152;La;-49290;300;8102.0;2;9690;361;151;947085;322;1;8271.568021757908;-169.56802175790835
36;94;58;152;Ce;-58980;200;8161.0;1;4778;201;151;936682;215;-1;8338.570368415214;-177.57036841521403
34;93;59;152;Pr;-63758.063;18.537;8187.104;0.122;6391.344;30.710;151;931552.900;19.900;1;8372.005928614719;-184.9019286147186
32;92;60;152;Nd;-70149.407;24.485;8224.005;0.161;1104.778;18.501;151;924691.509;26.285;-1;8419.68733174233;-195.68233174233137
30;91;61;152;Pm;-71254.186;25.912;8226.127;0.170;3508.417;25.886;151;923505.481;27.817;1;8433.801948412143;-207.67494841214284
28;90;62;152;Sm;-74762.603;1.212;8244.061;0.008;-1874.348;0.687;151;919739.040;1.301;-1;8462.162408010065;-218.10140801006492
26;89;63;152;Eu;-72888.255;1.326;8226.583;0.009;1818.661;0.702;151;921751.235;1.423;1;8456.956081150183;-230.37308115018277
24;88;64;152;Gd;-74706.916;1.206;8233.401;0.008;-3990.000;40.000;151;919798.822;1.294;-1;8465.995597218413;-232.59459721841267
22;87;65;152;Tb;-70716.916;40.018;8202.004;0.263;-599.044;40.258;151;924082.263;42.961;1;8441.468326828839;-239.46432682883824
20;86;66;152;Dy;-70117.873;4.624;8192.916;0.030;-6513.102;13.325;151;924725.363;4.963;-1;8431.186899367378;-238.27089936737866
18;85;67;152;Ho;-63604.771;12.529;8144.919;0.082;-3104.394;9.815;151;931717.465;13.450;1;8387.338685448112;-242.41968544811243
16;84;68;152;Er;-60500.377;8.830;8119.349;0.058;-8780.104;54.743;151;935050.169;9.479;-1;8357.736314456955;-238.3873144569552
14;83;69;152;Tm;-51720.273;54.027;8056.438;0.355;-5449.892;139.620;151;944476.000;58.000;1;8294.567157007998;-238.1291570079975
12;82;70;152;Yb;-46270.381;149.708;8015.436;0.985;-12848;246;151;950326.700;160.718;-1;8245.643842487154;-230.20784248715427
