N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass
5;51;46;97;Pd;-77805.843;4.844;8.50243;0.050;-6980.000;110.000;96;90277.12220923505;0.004843769339344;0;0;824.73571;8.454402120781197;820.0770057157761;0.048027879218803804;4.6587042842239725;90281.7809569748;90277.12225269059;-4.3455540435388684e-05;-77805.8516049529;0.008604952905443497;8.502430447995195;-4.47995194718942e-07;0.13721112443705802;90258.4122163675;90253.75346862775;-4.658747739755199
24;61;37;98;Rb;-54369.146;16.083;8.330729;0.164;12053.958;16.403;97;91232.0530119977;0.0160822457007258;1;-1;816.411442;8.352826823239004;818.5770286774224;-0.022097823239004555;-2.165586677422425;91229.88747515195;91232.05306182937;-4.983166581951082e-05;-54369.15256229824;0.0065622982365312055;8.330729508486355;-5.084863552440311e-07;0.08120027944291754;91211.06171425586;91213.22725110162;2.1655368457577424
22;60;38;98;Sr;-66423.104;3.226;8.445745;0.033;5871.673;8.558;97;91219.99905260275;0.00322576408118236;-1;1;827.6830100000001;8.470997444854566;830.1577495957475;-0.02525244485456568;-2.474739595747451;91217.52440763105;91219.9991472268;-9.462404705118388e-05;-66423.11195723963;0.0079572396207368;8.445745965551433;-9.655514325856984e-07;0.08657764570999019;91198.19302515054;91200.66767012225;2.4746449717058567
20;59;39;98;Y;-72294.777;7.929;8.497677;0.081;8991.932;11.576;97;91214.12737951997;0.00792794631676092;1;-1;832.772346;8.526290064012738;835.5764262732483;-0.02861306401273822;-2.80408027324836;91211.32338435095;91214.12746462421;-8.51042423164472e-05;-72294.78504002666;0.008040026659728028;8.497677868410614;-8.6841061452958e-07;0.09216027452163608;91191.48658554857;91194.29058071758;2.803995169015252
18;58;40;98;Zr;-81286.709;8.451;8.581448;0.086;2237.890;9.819;97;91205.13544710414;0.00845051450894784;-1;1;840.981904;8.602604240299573;843.0552155493582;-0.021156240299573525;-2.073311549358209;91203.06224847227;91205.13556002163;-0.0001129174925154075;-81286.71745586261;0.00845586261129938;8.581449152219314;-1.152219313738101e-06;0.09795082862197252;91182.7202412733;91184.79343990517;2.0731986318714917
16;57;41;98;Nb;-83524.598;5.001;8.596300999999999;0.051;4591.373;5.003;97;91202.8975567388;0.00500119184287268;1;-1;842.4374979999999;8.616040414129019;844.3719605846438;-0.01973941412902036;-1.9344625846439385;91200.9631568344;91202.89761941905;-6.268025026656687e-05;-83524.60782119675;0.009821196756092831;8.596301639594383;-6.395943845660668e-07;0.10395197947498747;91180.11615183558;91182.05055173997;1.934399904392194
14;56;42;98;Mo;-88115.972;0.174;8.635168;0.002;-1683.766;3.377;97;91198.3061831788;0.00017325790329192;-1;1;846.2464640000001;8.650498145087127;847.7488182185384;-0.015330145087126823;-1.5023542185383576;91196.80395259794;91198.30630681648;-0.00012363767018541694;-88115.98138119874;0.009381198746268637;8.63516926160884;-1.2616088405081882e-06;0.11016640990872416;91175.45216307887;91176.95439365973;1.5022305808670353
12;55;43;98;Tc;-86432.205;3.380;8.610004;0.034;1792.653;7.157;97;91199.98994912622;0.00337946060829616;1;-1;843.780392;8.622077873587848;844.9636316116091;-0.012073873587848283;-1.1832396116091104;91198.80679260229;91199.9900322139;-8.30876815598458e-05;-86432.21543378767;0.01043378766917158;8.61000484783349;-8.47833490524863e-07;0.11659681669254933;91176.9504345393;91178.13359106323;1.1831565239263
10;54;44;98;Ru;-88224.858;6.463;8.620313;0.066;-5049.653;10.000;97;91198.19729617555;0.00646177459750564;-1;1;844.790674;8.614679159217232;844.2385576032888;0.0056338407827674075;0.5521163967111988;91198.74952000803;91198.19740361131;-0.00010743575694505125;-88224.8683844445;0.010384444511146285;8.62031409628327;-1.0962832703853564e-06;0.12324591305406975;91176.38881209072;91175.83658825824;-0.5522238324774662
8;53;45;98;Rh;-83175.205;11.906;8.560803;0.121;-1854.229;12.816;97;91203.24695086216;0.011906357633749039;1;-1;838.958694;8.544402442389227;837.3514393541443;0.016400557610772637;1.6072546458557326;91204.85429165458;91203.24703700872;-8.614656690042466e-05;-83175.21369784034;0.008697840341483243;8.56080387904661;-8.790466097252647e-07;0.13011643114154953;91181.98945530468;91180.38211451225;-1.6073407924268395
