N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene;Delta_2n;Delta_2p
34;99;65;164;Tb;-62104.983;1.863;8.1399304;0.0114;3862.6653;1.9884;933327.561;2.000;1;8.347950164810452;-0.2080197648104516;-0.002560500000001298;-0.014808200000000937
32;98;66;164;Dy;-65967.649;0.695;8.158712900000001;0.0042;-987.1315;1.3710;929180.819;0.746;-1;8.376162336214263;-0.21744943621426138;-0.006691000000003555;-0.016440600000002803
30;97;67;164;Ho;-64980.517;1.390;8.1479234;0.0085;962.0559;1.3756;930240.548;1.492;1;8.374672357788814;-0.2267489577888142;-0.00494089999999936;-0.01283379999999923
28;96;68;164;Er;-65942.573;0.704;8.1490191;0.0043;-4033.6302;25.0113;929207.739;0.755;-1;8.386142330342702;-0.23712323034270177;-0.0036944000000005417;-0.012123600000000678
26;95;69;164;Tm;-61908.943;25.006;8.1196534;0.1525;-896.7722;29.2135;933538.019;26.845;1;8.367910153067331;-0.24825675306733075;-0.002784300000001849;-0.009718600000001132
24;94;70;164;Yb;-61012.171;15.106;8.109414899999999;0.0921;-6369.7952;31.7666;934500.743;16.217;-1;8.3626379267713;-0.25322302677130004;-0.0038373999999983255;-0.009995299999998153
22;93;71;164;Lu;-54642.376;27.945;8.0658043;0.1704;-2824.0194;32.1083;941339.000;30.000;1;8.327663550646008;-0.26185925064600823;-0.002873400000000359;-0.00905039999999957
20;92;72;164;Hf;-51818.356;15.812;8.0438142;0.0964;-8535.5511;32.1083;944370.709;16.975;-1;8.305649125500056;-0.2618349255000556;-0.00407270000000004;-0.010200000000001097
18;91;73;164;Ta;-43282.805;27.945;7.9869978;0.1704;-5047.2500;29.5717;953534.000;30.000;1;8.25393255052484;-0.2669347505248405;-0.004680999999999713;-0.009796800000001049
16;90;74;164;W;-38235.555;9.673;7.9514515;0.0590;-10763.1138;55.4055;958952.445;10.384;-1;8.215175926528964;-0.263724426528964;-0.004186500000001203;-0.009448800000000368
14;89;75;164;Re;-27472.441;54.555;7.8810523;0.3326;-7047.7180;140.0330;970507.122;58.566;1;8.14671715270383;-0.26566485270383033;-0.004465400000000841;-0.008761400000000918
12;88;76;164;Os;-20424.723;149.903;7.833308;0.9140;-12941;350;978073.158;160.927;-1;8.091218329858036;-0.25791032985803586;-0.006278899999999865;-0.009794600000000209
10;87;77;164;Ir;-7483;316;7.75;2;*;;991966;339;1;8.006017357182978;-0.25601735718297824;;
43;104;61;165;Pm;-34670;500;7.992;3;8840;640;962780;537;0;8.174192161948469;-0.18219216194846855;;
41;103;62;165;Sm;-43510;400;8.041;2;7219;400;953290;429;0;8.2276523531385;-0.18665235313850026;-0.0058347000000003035;-0.014457199999998949
39;102;63;165;Eu;-50729.103;5.213;8.0800529;0.0316;5796.6788;5.3733;945540.070;5.596;0;8.272836706097081;-0.192783806097081;-0.0060886;-0.016664800000000923
37;101;64;165;Gd;-56525.782;1.304;8.1104428;0.0079;4063.0674;2.0189;939317.080;1.400;0;8.30974522082421;-0.19930242082421046;-0.004586799999998448;-0.015842099999998638
35;100;65;165;Tb;-60588.849;1.541;8.130325899999999;0.0093;3023.4392;1.6915;934955.198;1.654;0;8.338377897319889;-0.20805199731989;-0.003578599999999099;-0.014261399999998758
33;99;66;165;Dy;-63612.289;0.697;8.1439083;0.0042;1285.7287;0.7502;931709.402;0.748;0;8.35873473558412;-0.2148264355841203;-0.0051544000000003365;-0.015325400000000045
31;98;67;165;Ho;-64898.017;0.786;8.1469591;0.0048;-376.6648;0.9575;930329.116;0.844;0;8.3708157356169;-0.22385663561689917;-0.006578000000001083;-0.015703400000001366
29;97;68;165;Er;-64521.353;0.918;8.1399348;0.0056;-1591.3282;1.4891;930733.482;0.985;0;8.374620897418225;-0.23468609741822455;-0.0033941000000012878;-0.011883600000002659
27;96;69;165;Tm;-62930.024;1.658;8.1255489;0.0101;-2634.6364;26.5907;932441.843;1.779;0;8.370150220988101;-0.24460132098810128;-0.0035378000000001464;-0.010958600000000374
25;95;70;165;Yb;-60295.388;26.539;8.1048399;0.1608;-3853.1403;35.4324;935270.241;28.490;0;8.35740370632653;-0.2525638063265294;-0.004370900000001399;-0.010754499999999112
23;94;71;165;Lu;-56442.248;26.539;8.076746;0.1608;-4806.7350;38.5387;939406.758;28.490;0;8.336381353433504;-0.2596353534335041;-0.0036349999999991667;-0.009653199999998918
21;93;72;165;Hf;-51635.513;27.945;8.0428728;0.1694;-5787.6410;31.0668;944567.000;30.000;0;8.30708316230903;-0.26421036230903105;-0.0035533999999994847;-0.009934200000000892
19;92;73;165;Ta;-45847.872;13.573;8.0030547;0.0823;-6986.5555;29.1133;950780.287;14.571;0;8.269509132953104;-0.266454432953104;-0.005357499999998794;-0.010424599999998563
17;91;74;165;W;-38861.316;25.756;7.9559704;0.1561;-8201.9627;34.9116;958280.663;27.649;0;8.223659265365729;-0.267688865365729;-0.004932000000001047;-0.009977899999999984
