N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;bind_ene_total;delta;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene
8;27;19;46;K;-35413.924;0.727;8.518042;0.016;7725.438;2.350;45;961981.586;0.780;391.829932;1;8.509440926557176;391.4342826216301;0.008601073442823903
6;26;20;46;Ca;-43139.361;2.235;8.668979;0.049;-1378.143;2.333;45;953687.988;2.399;398.773034;-1;8.732062901395631;401.67489346419904;-0.0630839013956308
4;25;21;46;Sc;-41761.219;0.683;8.622012;0.015;2366.581;0.667;45;955167.485;0.732;396.612552;1;8.715367839587245;400.9069206210132;-0.09335583958724492
2;24;22;46;Ti;-44127.799;0.165;8.656450999999999;0.004;-7052.449;0.093;45;952626.856;0.176;398.19674599999996;-1;8.746547029642421;402.3411633635514;-0.09009602964242269
0;23;23;46;V;-37075.351;0.202;8.48613;0.004;-7603.784;11.455;45;960197.971;0.216;390.36197999999996;1;8.538409183050756;392.7668224203348;-0.05227918305075718
-2;22;24;46;Cr;-29471.567;11.453;8.303823;0.249;-16902;400;45;968360.970;12.295;381.97585799999996;-1;8.378145588322655;385.3946970628421;-0.07432258832265504
-4;21;25;46;Mn;-12570;400;7.919;9;-13480;640;45;986506;429;364.274;1;7.97856495694771;367.01398801959465;-0.05956495694771036
-6;20;26;46;Fe;910;500;7.609;11;*;;46;000977;537;350.014;-1;7.6268585774363284;350.8354945620711;-0.01785857743632846
17;32;15;47;P;29710;800;7.19;17;22340;944;47;031895;859;337.93;0;6.818366293567793;320.4632157976863;0.37163370643220706
15;31;16;47;S;7370;500;7.648;11;17150;640;47;007912;537;359.45599999999996;0;7.3698993939095505;346.3852715137489;0.2781006060904492
13;30;17;47;Cl;-9780;400;7.996;9;15587;400;46;989501;429;375.812;0;7.8296302371697175;367.9926211469767;0.16636976283028293
11;29;18;47;Ar;-25366.338;1.118;8.311404;0.024;10345.638;1.789;46;972768.114;1.200;390.635988;0;8.197558823348295;385.2852646973699;0.11384517665170435
9;28;19;47;K;-35711.976;1.397;8.514879;0.030;6632.442;2.625;46;961661.614;1.500;400.199313;0;8.473685152445285;398.2632021649284;0.041193847554716
7;27;20;47;Ca;-42344.418;2.222;8.639349;0.047;1992.177;1.185;46;954541.394;2.385;406.049403;0;8.658009224460685;406.9264335496522;-0.01866022446068527
5;26;21;47;Sc;-44336.595;1.933;8.66509;0.041;600.769;1.929;46;952402.704;2.074;407.25922999999995;0;8.750531039394497;411.2749588515414;-0.08544103939449776
3;25;22;47;Ti;-44937.364;0.115;8.661227;0.002;-2930.746;0.138;46;951757.752;0.123;407.077669;0;8.751250597246718;411.3087780705958;-0.09002359724671827
1;24;23;47;V;-42006.618;0.169;8.582225000000001;0.004;-7444.040;6.032;46;954904.038;0.181;403.36457500000006;0;8.660167898017354;407.02789120681564;-0.0779428980173531
-1;23;24;47;Cr;-34562.578;6.030;8.407195;0.128;-11996.204;32.240;46;962895.544;6.473;395.138165;0;8.477282941706399;398.43229826020075;-0.07008794170639909
-3;22;25;47;Mn;-22566.374;31.671;8.135311;0.674;-15697;501;46;975774.000;34.000;382.359617;0;8.202595728313856;385.52199923075125;-0.06728472831385623
-5;21;26;47;Fe;-6870;500;7.785;11;-17240;781;46;992625;537;365.895;0;7.836106257839722;368.29699411846696;-0.05110625783972189
-7;20;27;47;Co;10370;600;7.401;13;*;;47;011133;644;347.847;0;7.377814530284;346.757282923348;0.023185469716000107
16;32;16;48;S;12761;596;7.545;12;17042;778;48;013700;640;362.15999999999997;-1;7.251896607018224;348.0910371368747;0.29310339298177635
14;31;17;48;Cl;-4280;500;7.883;10;18001;587;47;995405;537;378.384;1;7.663851618180606;367.8648776726691;0.21914838181939444
12;30;18;48;Ar;-22281.337;307.393;8.242132;6.404;10003.140;307.394;47;976080.000;330.000;395.622336;-1;8.122399219986296;389.8751625593422;0.11973278001370424
10;29;19;48;K;-32284.477;0.773;8.434232;0.016;11940.153;0.779;47;965341.186;0.830;404.84313599999996;1;8.358109286813466;401.1892457670464;0.07612271318653363
8;28;20;48;Ca;-44224.629;0.096;8.666686;0.002;279.213;4.950;47;952522.904;0.103;416.00092800000004;-1;8.640411944283944;414.7397733256293;0.026274055716056566
6;27;21;48;Sc;-44503.842;4.951;8.656203999999999;0.103;3988.866;4.950;47;952223.157;5.314;415.49779199999995;1;8.699877066775903;417.5940992052433;-0.04367306677590399
4;26;22;48;Ti;-48492.709;0.109;8.723006;0.002;-4015.015;0.969;47;947940.932;0.117;418.704288;-1;8.805934779911167;422.684869435736;-0.08292877991116754
2;25;23;48;V;-44477.694;0.975;8.623061;0.020;-1655.673;7.388;47;952251.229;1.046;413.906928;1;8.689154958067917;417.07943798726;-0.06609395806791696
0;24;24;48;Cr;-42822.020;7.324;8.572269;0.153;-13525.682;10.087;47;954028.667;7.862;411.46891200000005;-1;8.618967726867972;413.71045088966264;-0.046698726867971274
-2;23;25;48;Mn;-29296.338;6.939;8.274185;0.145;-11296;400;47;968549.085;7.449;397.16087999999996;1;8.325942960689508;399.64526211309635;-0.051757960689508664
-4;22;26;48;Fe;-18000;400;8.023;8;-19500;640;47;980676;429;385.104;-1;8.079510785154351;387.81651768740886;-0.056510785154351595
