N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;bind_ene_total;delta;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene
43;131;88;219;Ra;9393.853;6.814;7.714055999999999;0.0311;-2175.7005;51.9016;010084.715;7.315;1689.378264;0;7.997743436979502;1751.505812698511;-0.2836874369795028
41;130;89;219;Ac;11569.553;51.477;7.700548899999999;0.2351;-2893.2268;76.3627;012420.425;55.263;1686.4202091;0;7.990513178789361;1749.92238615487;-0.2899642787893617
39;129;90;219;Th;14462.780;56.460;7.683765500000001;0.2578;-4120.4434;89.7010;015526.432;60.611;1682.7446445;0;7.978413151667835;1747.2724802152559;-0.2946476516678347
37;128;91;219;Pa;18583.223;69.705;7.6613783;0.3183;-4712.7298;70.9693;019949.909;74.831;1677.8418477;0;7.961443355614924;1743.5560948796683;-0.30006505561492425
35;127;92;219;U;23295.953;13.338;7.636286699999999;0.0609;-6140.9976;92.9309;025009.233;14.319;1672.3467873;0;7.939603790630626;1738.7732301481071;-0.3033170906306264
33;126;93;219;Np;29436.951;91.969;7.604673200000001;0.4199;*;;031601.865;98.732;1665.4234308000002;0;7.9128944567149455;1732.923886020573;-0.30822125671494494
56;138;82;220;Pb;24130;400;7.67;2;3171;500;025905;429;1687.4;-1;7.927324211727996;1744.011326580159;-0.2573242117279957
54;137;83;220;Bi;20960;300;7.681;1;5696;300;022501;322;1689.82;1;7.943917238052925;1747.6617923716435;-0.2629172380529248
52;136;84;220;Po;15263.462;17.698;7.7032244;0.0804;887.7139;22.5491;016386.000;19.000;1694.709368;-1;7.969410812182248;1753.2703786800944;-0.2661864121822477
50;135;85;220;At;14375.748;13.972;7.7037033;0.0635;3763.7550;14.0896;015433.000;15.000;1694.814726;1;7.976346612444741;1754.796254737843;-0.2726433124447407
48;134;86;220;Rn;10611.994;1.814;7.717255199999999;0.0082;-870.3384;4.0256;011392.443;1.947;1697.796144;-1;7.992182960511629;1758.2802513125584;-0.2749277605116296
46;133;87;220;Fr;11482.332;4.028;7.7097430000000005;0.0183;1210.2406;8.4809;012326.789;4.324;1696.14346;1;7.989461534711687;1757.6815376365712;-0.2797185347116864
44;132;88;220;Ra;10272.091;7.595;7.7116879;0.0345;-3471.6640;9.6266;011027.542;8.153;1696.571338;-1;7.995640656716142;1759.0409444775512;-0.2839527567161415
42;131;89;220;Ac;13743.755;6.129;7.6923515;0.0279;-945.7825;14.9144;014754.527;6.579;1692.31733;1;7.983262004853764;1756.3176410678282;-0.29091050485376435
40;130;90;220;Th;14689.538;13.687;7.6844964;0.0622;-5588.8595;20.0508;015769.866;14.693;1690.5892079999999;-1;7.979783900795782;1755.5524581750722;-0.2952875007957827
38;129;91;220;Pa;20278.397;14.655;7.6555364;0.0666;-2735;102;021769.753;15.732;1684.218008;1;7.957748022870972;1750.7045650316138;-0.30221162287097236
36;128;92;220;U;23013;101;7.64;0;-7462;105;024706;108;1680.8;-1;7.944612692750555;1747.814792405122;-0.30461269275055525
34;127;93;220;Np;30475.022;30.718;7.6020758;0.1396;*;;032716.280;32.977;1672.456676;1;7.912919588763308;1740.8423095279277;-0.3108437887633082
55;138;83;221;Bi;24200;300;7.668;1;4426;301;025980;322;1694.628;0;7.933412228646428;1753.2841025308605;-0.26541222864642755
53;137;84;221;Po;19773.757;19.561;7.684481399999999;0.0885;2991.0276;24.0390;021228.000;21.000;1698.2703893999999;0;7.953524030375495;1757.7288107129843;-0.2690426303754956
51;136;85;221;At;16782.729;13.972;7.6944754;0.0632;2311.3750;15.0957;018017.000;15.000;1700.4790634;0;7.968847835690987;1761.1153716877081;-0.2743724356909869
49;135;86;221;Rn;14471.354;5.714;7.701394100000001;0.0259;1194.1032;7.2312;015535.637;6.134;1702.0080961;0;7.979383644592906;1763.4437854550322;-0.2779895445929048
47;134;87;221;Fr;13277.251;4.886;7.7032572;0.0221;313.3741;6.3858;014253.714;5.245;1702.4198412;0;7.985131457081252;1764.7140520149567;-0.2818742570812516
45;133;88;221;Ra;12963.877;4.630;7.7011351999999995;0.0210;-1567.1715;57.0591;013917.293;4.970;1701.9508792;0;7.986091273156026;1764.9261713674816;-0.28495607315602633
43;132;89;221;Ac;14531.048;56.901;7.6905038999999995;0.2575;-2408.8773;57.4376;015599.721;61.086;1699.6013618999998;0;7.982263092817225;1764.0801435126066;-0.2917591928172252
41;131;90;221;Th;16939.926;7.994;7.676064;0.0362;-3435.0112;59.9069;018185.757;8.582;1696.410144;0;7.97364691606485;1762.175968450332;-0.29758291606485
39;130;91;221;Pa;20374.937;59.380;7.6569809;0.2687;-4145.0590;93.4311;021873.393;63.746;1692.1927789;0;7.960242742898902;1759.2136461806574;-0.3032618428989027
37;129;92;221;U;24519.996;72.135;7.6346849;0.3264;-5390;213;026323.297;77.440;1687.2653629;0;7.942050573319382;1755.1931767035835;-0.30736567331938236
35;128;93;221;Np;29910;200;7.607;1;-6019;361;032110;215;1681.147;0;7.919070407326288;1750.1145600191096;-0.31207040732628766
33;127;94;221;Pu;35930;300;7.576;1;*;;038572;322;1674.2959999999998;0;7.891302244919621;1743.9777961272362;-0.31530224491962144
56;139;83;222;Bi;28950;300;7.648;1;6464;303;031079;322;1697.856;1;7.915663764401179;1757.2773556970617;-0.26766376440117945
54;138;84;222;Po;22486.268;40.054;7.6740054;0.1804;1533.2393;43.0709;024140.000;43.000;1703.6291988;-1;7.944003358089231;1763.5687454958093;-0.2699979580892302
52;137;85;222;At;20953.028;15.835;7.6773878;0.0713;4581.0714;15.9542;022494.000;17.000;1704.3800916;1;7.954050992080495;1765.7993202418697;-0.2766631920804947
50;136;86;222;Rn;16371.957;1.944;7.6944991;0.0088;-6.1461;7.7013;017576.017;2.086;1708.1788002;-1;7.972894766621445;1769.9826381899607;-0.2783956666214449
48;135;87;222;Fr;16378.103;7.452;7.6909474;0.0336;2057.8980;8.6816;017582.615;8.000;1707.3903228;1;7.973446581465605;1770.1051410853643;-0.2824991814656048
46;134;88;222;Ra;14320.205;4.454;7.6966931;0.0201;-2301.5922;6.2737;015373.371;4.781;1708.6658682;-1;7.98279453685945;1772.180387182798;-0.28610143685945033
44;133;89;222;Ac;16621.797;4.699;7.682801499999999;0.0212;-581.2415;11.1289;017844.232;5.044;1705.5819329999997;1;7.973850532556506;1770.1948182275444;-0.29104903255650694
42;132;90;222;Th;17203.039;10.216;7.6766592000000005;0.0460;-4861.3220;87.1915;018468.220;10.966;1704.2183424000002;-1;7.973702668803248;1770.161992474321;-0.2970434688032473
40;131;91;222;Pa;22064.361;86.606;7.6512373;0.3901;-2208.4729;101.0129;023687.064;92.975;1698.5746806;1;7.955262845353202;1766.0683516684107;-0.3040255453532019
38;130;92;222;U;24272.834;51.994;7.637765099999999;0.2342;-7001.8072;64.4300;026057.957;55.817;1695.5838522;-1;7.9456191624528385;1763.9274540645301;-0.3078540624528392
36;129;93;222;Np;31274.641;38.051;7.6027013;0.1714;-3785;302;033574.706;40.849;1687.7996885999999;1;7.917683519855688;1757.7257414079627;-0.314982219855688
34;128;94;222;Pu;35060;300;7.582;1;*;;037638;322;1683.204;-1;7.898544017808222;1753.4767719534252;-0.31654401780822194
57;140;83;223;Bi;32240;400;7.636;2;5161;445;034611;429;1702.828;0;7.904275278568048;1762.6533871206748;-0.2682752785680478
55;139;84;223;Po;27079;196;7.655;1;3651;196;029070;210;1707.065;0;7.927272117785184;1767.781682266096;-0.27227211778518345
53;138;85;223;At;23428.008;13.972;7.6680557;0.0627;3038.2698;16.0129;025151.000;15.000;1709.9764211;0;7.945560613786261;1771.8600168743362;-0.2775049137862613
51;137;86;223;Rn;20389.738;7.822;7.678172;0.0351;2007.4091;8.0568;021889.283;8.397;1712.232356;0;7.959140766571283;1774.8883909453962;-0.28096876657128345
49;136;87;223;Fr;18382.329;1.931;7.6836655;0.0087;1149.0844;0.8476;019734.241;2.073;1713.4574065;0;7.96801257614025;1776.8668044792757;-0.28434707614025
47;135;88;223;Ra;17233.245;2.090;7.6853101;0.0094;-591.8099;6.9657;018500.648;2.243;1713.8241523;0;7.972176042493159;1777.7952574759745;-0.28686594249315966
45;134;89;223;Ac;17825.055;6.947;7.6791479;0.0312;-1560.3471;10.4712;019135.982;7.457;1712.4499817;0;7.971631165630012;1777.6737499354927;-0.29248326563001203
43;133;90;223;Th;19385.402;7.943;7.6686426;0.0356;-2952.2124;76.0305;020811.083;8.527;1710.1072998;0;7.966377945550808;1776.5022818578302;-0.29773534555080783
41;132;91;223;Pa;22337.614;75.632;7.6518957;0.3392;-3707.6637;95.9225;023980.414;81.193;1706.3727411;0;7.956416382255548;1774.2808532429872;-0.3045206822555482
39;131;92;223;U;26045.278;59.054;7.631761099999999;0.2648;-4613.3046;101.7520;027960.754;63.396;1701.8827253;0;7.941746475744231;1771.0094640909635;-0.30998537574423146
37;130;93;223;Np;30658.583;82.863;7.6075654;0.3716;-5462;311;032913.340;88.956;1696.4870842;0;7.922368226016858;1766.6881144017593;-0.31480282601685783
35;129;94;223;Pu;36121;300;7.58;1;-6579;424;038777;322;1690.34;0;7.898281633073429;1761.3168041753747;-0.31828163307342905
33;128;95;223;Am;42700;300;7.547;1;*;;045840;322;1682.981;0;7.869486696913943;1754.8955334118093;-0.32248669691394305
58;141;83;224;Bi;37070;400;7.616;2;7159;445;039796;429;1705.984;1;7.885760708493986;1766.4103987026529;-0.2697607084939859
56;140;84;224;Po;29910;196;7.644;1;2199;197;032110;210;1712.256;-1;7.916842384932312;1773.372694224838;-0.2728423849323116
54;139;85;224;At;27711.018;22.356;7.650735399999999;0.0998;5265.9197;24.4153;029749.000;24.000;1713.7647295999998;1;7.929891711024775;1776.2957432695496;-0.2791563110247752
52;138;86;224;Rn;22445.098;9.814;7.6707514;0.0438;696.4840;14.8750;024095.803;10.536;1718.2483136;-1;7.951634810962618;1781.1661976556265;-0.28088341096261793
50;137;87;224;Fr;21748.614;11.178;7.670368000000001;0.0499;2922.7819;11.3237;023348.096;12.000;1718.162432;1;7.955345560554599;1781.9974055642301;-0.2849775605545979
48;136;88;224;Ra;18825.832;1.811;7.6799236;0.0081;-1408.3152;4.0869;020210.361;1.944;1720.3028864;-1;7.967750083991959;1784.7760188141988;-0.2878264839919584
46;135;89;224;Ac;20234.148;4.089;7.6701438;0.0183;238.5672;10.3428;021722.249;4.389;1718.1122112;1;7.962122257083452;1783.5153855866934;-0.29197845708345227
44;134;90;224;Th;19995.581;9.604;7.6677162;0.0429;-3866.7705;12.1339;021466.137;10.310;1717.5684288;-1;7.96518820402033;1784.202157700554;-0.2974720040203298
42;133;91;224;Pa;23862.351;7.587;7.6469612;0.0339;-1880.3393;16.9711;025617.286;8.145;1712.9193088;1;7.950221800611341;1780.8496833369404;-0.30326060061134097
40;132;92;224;U;25742.690;15.261;7.6350742;0.0681;-6289.5572;32.7036;027635.913;16.383;1710.2566208;-1;7.943949171047733;1779.4446143146922;-0.3088749710477332
38;131;93;224;Np;32032.248;28.925;7.6035032000000005;0.1291;-3248;301;034388.030;31.052;1703.1847168000002;1;7.919644191138261;1774.0002988149704;-0.3161409911382602
36;130;94;224;Pu;35280;300;7.586;1;-7980;500;037875;322;1699.2640000000001;-1;7.90403298507417;1770.503388656614;-0.31803298507416944
34;129;95;224;Am;43260;400;7.546;2;*;;046442;429;1690.304;1;7.870389428664214;1762.967232020784;-0.3243894286642135
57;141;84;225;Po;34580;300;7.626;1;4280;424;037123;322;1715.8500000000001;0;7.899318756228227;1777.346720151351;-0.27331875622822643
55;140;85;225;At;30300;300;7.641;1;3765;300;032528;322;1719.225;0;7.920466026913417;1782.1048560555187;-0.2794660269134166
53;139;86;225;Rn;26534.143;11.140;7.6543581000000005;0.0495;2713.5412;16.3492;028485.572;11.958;1722.2305725;0;7.936982561814471;1785.821076408256;-0.28262446181447043
51;138;87;225;Fr;23820.602;11.967;7.662941200000001;0.0532;1827.5584;12.1574;025572.466;12.847;1724.1617700000002;0;7.948868360931394;1788.4953812095637;-0.2859271609313936
49;137;88;225;Ra;21993.044;2.596;7.6675866;0.0115;355.7386;5.0067;023610.502;2.786;1725.206985;0;7.956123424264184;1790.1277704594413;-0.2885368242641837
47;136;89;225;Ac;21637.305;4.758;7.6656906;0.0211;-672.8878;6.6576;023228.601;5.107;1724.7803849999998;0;7.958747751812839;1790.7182441578889;-0.29305715181283976
45;135;90;225;Th;22310.193;5.093;7.6592229;0.0226;-2046.4473;82.0038;023950.975;5.467;1723.3251524999998;0;7.956741343577363;1790.2668023049066;-0.29751844357736346
43;134;91;225;Pa;24356.640;81.867;7.6466504;0.3639;-3015.3610;82.4514;026147.927;87.887;1720.4963400000001;0;7.950104199557752;1788.7734449004943;-0.30345379955775176
41;133;92;225;U;27372.001;9.934;7.6297717;0.0442;-4246.0969;92.1491;029385.050;10.664;1716.6986325;0;7.938836319754008;1786.2381719446519;-0.30906461975400834
39;132;93;225;Np;31618.098;91.618;7.6074231;0.4072;-4682;314;033943.422;98.355;1711.6701975;0;7.922937704166133;1782.6609834373799;-0.31551460416613253
37;131;94;225;Pu;36300;300;7.583;1;-6090;500;038970;322;1706.175;0;7.902408352794122;1778.0418793786775;-0.31940835279412205
35;130;95;225;Am;42390;400;7.553;2;*;;045508;429;1699.425;0;7.877248265637979;1772.3808597685452;-0.32424826563797904
58;142;84;226;Po;37549;401;7.614;2;2889;500;040310;430;1720.764;-1;7.888032595806379;1782.6953666522418;-0.2740325958063794
56;141;85;226;At;34660;300;7.624;1;5913;300;037209;322;1723.024;1;7.903977813571491;1786.298985867157;-0.27997781357149165
54;140;86;226;Rn;28747.194;10.477;7.6464108;0.0464;1226.6542;12.1895;030861.380;11.247;1728.0888408;-1;7.928516423559959;1791.8447117245507;-0.28210562355995883
52;139;87;226;Fr;27520.539;6.230;7.6483768;0.0276;3852.9638;6.5215;029544.512;6.688;1728.5331568000001;1;7.9352762870862525;1793.372440881493;-0.28689948708625224
50;138;88;226;Ra;23667.576;1.927;7.6619636;0.0085;-641.6252;3.2730;025408.186;2.068;1731.6037736;-1;7.950629542835903;1796.842276680914;-0.28866594283590263
48;137;89;226;Ac;24309.201;3.100;7.6556628;0.0137;1111.5517;4.5626;026096.999;3.327;1730.1797928;1;7.948204052123377;1796.2941157798832;-0.2925412521233772
46;136;90;226;Th;23197.649;4.481;7.657119499999999;0.0198;-2835.9504;11.9702;024903.699;4.810;1730.5090069999999;-1;7.954371953634209;1797.6880615213313;-0.2972524536342096
44;135;91;226;Pa;26033.600;11.213;7.6411093;0.0496;-1295.1978;15.6747;027948.217;12.037;1726.8907018;1;7.942761108682867;1795.064010562328;-0.301651808682867
42;134;92;226;U;27328.797;11.071;7.631916599999999;0.0490;-5488.0792;102.6485;029338.669;11.884;1724.8131515999999;-1;7.93974365595488;1794.382066245803;-0.30782705595488036
40;133;93;226;Np;32816.877;102.063;7.6041714;0.4516;-2813;225;035230.364;109.568;1718.5427364;1;7.91894745676472;1789.6821252288266;-0.3147760567647193
38;132;94;226;Pu;35630;200;7.588;1;-7340;361;038250;215;1714.888;-1;7.906744649797916;1786.924290854329;-0.3187446497979156
36;131;95;226;Am;42970;300;7.552;1;*;;046130;322;1706.752;1;7.876763096368939;1780.1484597793801;-0.3247630963689394
59;143;84;227;Po;42281;401;7.596;2;4850;500;045390;430;1724.292;0;7.869765791400593;1786.4368346479346;-0.2737657914005931
57;142;85;227;At;37430;300;7.613;1;4544;300;040183;322;1728.151;0;7.893670097521737;1791.8631121374342;-0.2806700975217362
55;141;86;227;Rn;32885.835;14.091;7.6300508;0.0621;3203.3894;15.2755;035304.393;15.127;1732.0215316000001;0;7.913019299896537;1796.255381076514;-0.28296849989653694
53;140;87;227;Fr;29682.445;5.898;7.6407162;0.0260;2504.9813;6.2112;031865.413;6.332;1734.4425774;0;7.927813398524992;1799.6136414651733;-0.28709719852499216
51;139;88;227;Ra;27177.464;1.946;7.6483048;0.0086;1327.9489;2.2622;029176.205;2.089;1736.1651896;0;7.938052393407103;1801.9378933034125;-0.2897475934071032
49;138;89;227;Ac;25849.515;1.926;7.6507084;0.0085;44.7559;0.8297;027750.594;2.068;1736.7108068;0;7.9437362845428705;1803.2281365912315;-0.29302788454287043
47;137;90;227;Th;25804.759;2.088;7.6474591;0.0092;-1025.6117;7.2815;027702.546;2.241;1735.9732156999999;0;7.944865071932294;1803.4843713286307;-0.2974059719322941
45;136;91;227;Pa;26830.371;7.263;7.6394945;0.0320;-2214.6629;11.1118;028803.586;7.797;1734.1652514999998;0;7.941438755575373;1802.7065975156097;-0.3019442555753731
43;135;92;227;U;29045.034;8.510;7.6262918;0.0375;-3533.9848;77.4417;031181.124;9.136;1731.1682386;0;7.933457335472106;1800.8948151521681;-0.3071655354721061
41;134;93;227;Np;32579.018;76.989;7.6072771;0.3392;-4191;126;034975.012;82.651;1726.8519017;0;7.920920811622498;1798.049024238307;-0.3136437116224977
39;133;94;227;Pu;36770;100;7.585;0;-5410;224;039474;107;1721.795;0;7.903829184026545;1794.1692247740257;-0.31882918402654514
37;132;95;227;Am;42180;200;7.558;1;*;;045282;215;1715.666;0;7.882182452684246;1789.255416759324;-0.32418245268424606
58;143;85;228;At;41880;400;7.596;2;6637;400;044960;429;1731.888;1;7.876412451936187;1795.8220390414508;-0.28041245193618725
56;142;86;228;Rn;35243.466;17.677;7.6216457;0.0775;1859.2451;18.9157;037835.415;18.977;1737.7352196;-1;7.9036468430557445;1802.0314802167097;-0.2820011430557443
54;141;87;228;Fr;33384.221;6.732;7.6263689;0.0295;4444.0270;7.0210;035839.433;7.226;1738.8121092000001;1;7.913350277363475;1804.2438632388723;-0.2869813773634746
52;140;88;228;Ra;28940.194;1.995;7.6424289;0.0088;45.5402;0.6344;031068.574;2.141;1742.4737891999998;-1;7.931548653805218;1808.3930930675897;-0.2891197538052186
50;139;89;228;Ac;28894.654;2.093;7.6391973;0.0092;2123.7545;2.6446;031019.685;2.247;1741.7369844;1;7.932216073435133;1808.5452647432103;-0.29301877343513283
48;138;90;228;Th;26770.899;1.806;7.6450807;0.0079;-2152.6993;4.3399;028739.741;1.938;1743.0783996;-1;7.941378435199063;1810.6342832253863;-0.29629773519906255
46;137;91;228;Pa;28923.599;4.340;7.6322076;0.0190;-296.4020;14.0858;031050.758;4.659;1740.1433328;1;7.933009840151165;1808.7262435544656;-0.30080224015116475
44;136;92;228;U;29220.001;13.474;7.6274763000000005;0.0591;-4605;101;031368.959;14.465;1739.0645964;-1;7.933136187237278;1808.7550506900996;-0.30565988723727777
42;135;93;228;Np;33825;100;7.604;0;-2283;103;036313;108;1733.712;1;7.9157315775115675;1804.7867996726375;-0.31173157751156744
40;134;94;228;Pu;36107.809;23.352;7.5904039;0.1024;-6742;202;038763.325;25.069;1730.6120892000001;-1;7.906821909919868;1802.75539546173;-0.3164180099198681
38;133;95;228;Am;42850;200;7.557;1;*;;046001;215;1722.996;1;7.880381285516342;1796.726933097726;-0.3233812855163416
59;144;85;229;At;44890;400;7.585;2;5527;400;048191;429;1736.965;0;7.865273132599331;1801.1475473652467;-0.28027313259933084
57;143;86;229;Rn;39362.400;13.041;7.6056227;0.0569;3694.1465;13.9670;042257.272;14.000;1741.6875983;0;7.887355338646482;1806.2043725500444;-0.28173263864648224
55;142;87;229;Fr;35668.253;5.001;7.618338;0.0218;3106.2907;16.2305;038291.443;5.368;1744.5994019999998;0;7.9049561649436315;1810.2349617720915;-0.2866181649436319
53;141;88;229;Ra;32561.963;15.441;7.6284862;0.0674;1872.0266;19.6229;034956.703;16.576;1746.9233398000001;0;7.918075611490775;1813.2393150313876;-0.2895894114907751
51;140;89;229;Ac;30689.936;12.109;7.6332446;0.0529;1104.4191;12.3458;032947.000;13.000;1748.0130134;0;7.926713678287916;1815.2174323279328;-0.2934690782879157
49;139;90;229;Th;29585.517;2.404;7.634651;0.0105;-311.3310;3.7152;031761.357;2.581;1748.335079;0;7.930870365335053;1816.1693136617273;-0.29621936533505355
47;138;91;229;Pa;29896.848;3.280;7.629875200000001;0.0143;-1313.7716;6.6554;032095.585;3.521;1747.2414208000002;0;7.930545672632187;1816.0949590327707;-0.30067047263218605
45;137;92;229;U;31210.620;5.938;7.6207218;0.0259;-2590.7577;101.3342;033505.976;6.374;1745.1452922;0;7.925739600179315;1814.9943684410632;-0.3050178001793151
43;136;93;229;Np;33801.378;101.177;7.605992100000001;0.4418;-3593.5462;117.9433;036287.269;108.618;1741.7721909000002;0;7.9164521479764405;1812.8675418866048;-0.31046004797643967
41;135;94;229;Pu;37394.924;60.633;7.5868834;0.2648;-4785.4899;122.4147;040145.099;65.092;1737.3962986;0;7.902683316023562;1809.7144793693956;-0.31579991602356206
39;134;95;229;Am;42180.414;106.348;7.5625697;0.4644;*;;045282.534;114.169;1731.8284613;0;7.88443310432068;1805.5351808894357;-0.3218634043206796
58;144;86;230;Rn;42170;200;7.595;1;2683;200;045271;215;1746.85;-1;7.87712757245266;1811.7393416641119;-0.2821275724526604
56;143;87;230;Fr;39486.769;6.541;7.6037052;0.0284;4970.4627;12.1984;042390.787;7.022;1748.852196;1;7.889673115791623;1814.6248166320731;-0.2859679157916224
54;142;88;230;Ra;34516.306;10.296;7.6219144;0.0448;677.9196;18.8884;037054.776;11.053;1753.0403119999999;-1;7.910617030996814;1819.4419171292673;-0.2887026309968146
52;141;89;230;Ac;33838.386;15.835;7.6214604;0.0689;2975.8745;15.8815;036327.000;17.000;1752.935892;1;7.914272148322039;1820.2825941140688;-0.2928117483220385
50;140;90;230;Th;30862.512;1.209;7.6309974;0.0053;-1311.0313;2.8334;033132.267;1.297;1755.129402;-1;7.926325637513496;1823.054896628104;-0.2953282375134956
48;139;91;230;Pa;32173.543;3.038;7.6218958;0.0132;558.5262;4.5919;034539.717;3.261;1753.036034;1;7.9210903288249845;1821.8507756297465;-0.29919452882498465
46;138;92;230;U;31615.017;4.509;7.6209227;0.0196;-3621.5986;55.1683;033940.114;4.841;1752.8122210000001;-1;7.924253392002707;1822.5782801606226;-0.30333069200270657
44;137;93;230;Np;35236.615;55.007;7.6017751;0.2392;-1695.5543;56.8505;037828.060;59.051;1748.408273;1;7.910127657300462;1819.3293611791064;-0.30835255730046196
42;136;94;230;Pu;36932.170;14.451;7.591001599999999;0.0628;-5940;144;039648.313;15.514;1745.9303679999998;-1;7.904400294464448;1818.012067726823;-0.3133986944644489
40;135;95;230;Am;42872;143;7.562;1;*;;046025;153;1739.26;1;7.881384133748469;1812.7183507621478;-0.31938413374846863
59;145;86;231;Rn;46550;300;7.579;1;4469;300;049973;322;1750.749;0;7.86008946820848;1815.680667156159;-0.2810894682084806
57;144;87;231;Fr;42080.575;7.731;7.5945009;0.0335;3864.0868;13.7495;045175.353;8.300;1754.3297079;0;7.880399379920536;1820.3722567616437;-0.28589847992053574
55;143;88;231;Ra;38216.488;11.370;7.6078418;0.0492;2453.6351;17.3014;041027.085;12.206;1757.4114558;0;7.896299792326002;1824.0452520273066;-0.288457992326002
53;142;89;231;Ac;35762.853;13.041;7.6150768;0.0565;1947.0425;13.0976;038393.000;14.000;1759.0827408;0;7.907790705424887;1826.6996529531489;-0.29271390542488707
51;141;90;231;Th;33815.811;1.217;7.6201188;0.0053;391.4727;1.4598;036302.764;1.306;1760.2474428;0;7.914872119217188;1828.3354595391704;-0.29475331921718784
49;140;91;231;Pa;33424.338;1.771;7.6184267;0.0077;-381.6138;2.0325;035882.500;1.901;1759.8565677;0;7.917544033702903;1828.9526717853705;-0.2991173337029034
47;139;92;231;U;33805.952;2.670;7.613387899999999;0.0116;-1817.7347;51.1839;036292.180;2.866;1758.6926048999999;0;7.915806448882034;1828.5512896917498;-0.30241854888203434
45;138;93;231;Np;35623.686;51.154;7.6021320999999995;0.2214;-2684.8905;55.6931;038243.598;54.916;1756.0925151;0;7.909659364754581;1827.1313132583082;-0.30752726475458125
43;137;94;231;Pu;38308.577;22.061;7.5871224;0.0955;-4101;301;041125.946;23.683;1752.6252744;0;7.899102781320544;1824.6927424850458;-0.3119803813205442
41;136;95;231;Am;42410;300;7.566;1;-4860;424;045529;322;1747.7459999999999;0;7.884136698579922;1821.2355773719619;-0.3181366985799219
39;135;96;231;Cm;47270;300;7.542;1;*;;050746;322;1742.202;0;7.864761116532716;1816.7598179190572;-0.3227611165327158
58;145;87;232;Fr;46072.834;13.972;7.5793481;0.0602;5575.8791;16.7023;049461.219;15.000;1758.4087591999998;1;7.864344798047676;1824.527993147061;-0.28499669804767613
56;144;88;232;Ra;40496.955;9.151;7.6000099;0.0394;1342.5322;15.9313;043475.267;9.823;1763.2022967999999;-1;7.88793851576073;1830.0017356564895;-0.28792861576073037
54;143;89;232;Ac;39154.423;13.041;7.6024245;0.0562;3707.7131;13.1181;042034.000;14.000;1763.7624839999999;1;7.894480139979023;1831.5193924751334;-0.29205563997902306
52;142;90;232;Th;35446.710;1.421;7.6150338;0.0061;-499.8388;7.7338;038053.606;1.525;1766.6878416;-1;7.909325395668571;1834.9634917951084;-0.29429159566857077
50;141;91;232;Pa;35946.549;7.645;7.6095072;0.0330;1337.1034;7.4278;038590.205;8.206;1765.4056704000002;1;7.907118557863355;1834.4515054242984;-0.2976113578633548
48;140;92;232;U;34609.445;1.808;7.6118984;0.0078;-2750;100;037154.765;1.941;1765.9604288;-1;7.913215351529394;1835.8659615548195;-0.30131695152939386
46;139;93;232;Np;37359;100;7.597;0;-1001;101;040107;107;1762.5040000000001;1;7.902260051700672;1833.324331994556;-0.30526005170067183
44;138;94;232;Pu;38360.915;16.885;7.588983900000001;0.0728;-5059;300;041182.133;18.126;1760.6442648000002;-1;7.899608383343205;1832.7091449356235;-0.31062448334320436
42;137;95;232;Am;43420;300;7.564;1;-2913;361;046613;322;1754.848;1;7.879904621490974;1828.137872185906;-0.315904621490974
40;136;96;232;Cm;46333;201;7.548;1;*;;049740;216;1751.136;-1;7.86850449111;1825.49304193752;-0.32050449111000034
59;146;87;233;Fr;48920.052;19.561;7.5692398;0.0840;4585.9906;21.3694;052517.833;21.000;1763.6328734;0;7.854240338791821;1830.0379989384944;-0.2850005387918211
57;145;88;233;Ra;44334.062;8.603;7.5855644;0.0369;3026.0244;15.6228;047594.570;9.235;1767.4365052;0;7.8728260440450315;1834.3684682624923;-0.2872616440450315
55;144;89;233;Ac;41308.037;13.041;7.5951939;0.0560;2576.3950;13.1184;044346.000;14.000;1769.6801787;0;7.887072348651961;1837.687857235907;-0.29187844865196144
53;143;90;233;Th;38731.642;1.424;7.602893699999999;0.0061;1242.2320;1.1224;041580.126;1.528;1771.4742320999999;0;7.896979252612612;1839.9961658587386;-0.2940855526126125
51;142;91;233;Pa;37489.410;1.336;7.6048675;0.0057;570.2993;1.9750;040246.535;1.433;1771.9341275;0;7.902546755926986;1841.2933941309877;-0.29767925592698585
49;141;92;233;U;36919.111;2.254;7.6039574000000005;0.0097;-1029.4197;51.0050;039634.294;2.420;1771.7220742000002;0;7.903774858595079;1841.5795420526533;-0.29981745859507836
47;140;93;233;Np;37948.531;50.981;7.5961815999999995;0.2188;-2103.3047;74.3811;040739.421;54.729;1769.9103128;0;7.900663560616896;1840.8546096237367;-0.30448196061689625
45;139;94;233;Pu;40051.836;54.178;7.5837968;0.2325;-3233;126;042997.411;58.162;1767.0246544;0;7.893212861992433;1839.118596844237;-0.3094160619924331
43;138;95;233;Am;43285;114;7.567;0;-4008;140;046468;123;1763.111;0;7.881422762721693;1836.3715037141544;-0.31442276272169245
41;137;96;233;Cm;47293.340;81.095;7.5460020000000005;0.3480;-5478;247;050771.485;87.059;1758.218466;0;7.865293262804673;1832.6133302334888;-0.319291262804672
39;136;97;233;Bk;52771;233;7.519;1;*;;056652;250;1751.9270000000001;0;7.844824362241376;1827.8440764022405;-0.32582436224137545
