N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass;M_N_ws4;WS4_diff;bind_ene_total_;prediction_i3;difference_i3;prediction_i4;difference_i4
9;70;61;131;Pm;-59770.0;200.0;8.163;2.0;-9490;447.0;130;121965.95733666072;0.2002712322997999;0;0;1069.353;8.16314983889942;1069.372628895824;-0.0001498388994196;-0.019628895823871;121965.97447333753;121965.99410223334;-0.0367655726295197;-59770.25065929767;0.2506592976715183;8.1632806532262;-0.0002806532262003;0.2724968105814297;121935.076034156;121935.0588974792;-0.0171366768045118;121935.2590481385;-0.2001506592932855;1069.353;1069.41845703125;-0.06545703124993452;1069.3985595703125;-0.045559570312434516
7;69;62;131;Sm;-50280.0;400.0;8.085;3.0;-10816;565.0;130;121975.4473985894;0.3996109704958799;0;0;1059.1350000000002;8.081149782099928;1058.6306214550905;0.003850217900073;0.5043785449097413;121975.93413417382;121975.42975562892;0.0176429604907752;-50280.18873059886;0.1887305988566368;8.084865320912245;0.0001346790877558;0.2835789870608625;121944.5357782181;121944.04904263368;-0.4867355844180565;121944.26793136427;-0.2188887305965181;1059.1350000000002;1059.3953857421875;-0.2603857421872817;1059.28076171875;-0.14576171874978172
5;68;63;131;Eu;-39464.0;400.0;7.996;3.0;*;;130;121986.26390812178;0.3996109704958799;0;0;1047.476;7.987087613038195;1046.3084773080036;0.0089123869618052;1.1675226919965098;121987.47393171643;121986.30640902446;-0.0425009026803309;-39463.67919821591;-0.3208017840952379;7.996324434371568;-0.000324434371568;0.2949375864193932;121955.5759354094;121954.36591181472;-1.210023594670929;121954.81869101296;-0.452779198254575;1047.476;1047.486083984375;-0.010083984374887223;1047.5333251953125;-0.05732519531238722
38;85;47;132;Ag;-34400.0;500.0;8.053;4.0;16065;504.0;131;122922.8216137896;0.50021233369764;1;-1;1062.996;8.000588692035999;1056.0777073487518;0.052411307964002;6.918292651248294;122929.78766906516;122922.86937641392;-0.047762624308234;-34400.0772503911;0.0772503910993691;8.053361838062935;-0.0003618380629344;0.1445327701250351;122905.91525115284;122898.9491958773;-6.966055275552208;122899.13937312768;-0.1901772503915708;1062.996;1064.0845947265625;-1.0885947265624054;1062.308349609375;0.6876503906250946
36;84;48;132;Cd;-50465.429;60.068;8.1691421;0.4551;11946.1243;84.9236;131;122906.75626166596;0.0600673972783841;-1;1;1078.3267572;8.1040526179426;1069.7349455684232;0.0650894820574006;8.591811631576775;122915.34808424104;122906.75627260946;-1.094350591301918e-05;-50465.429374039086;0.0003740390893653;8.169142182905379;-8.29053785622591e-08;0.1520841714204825;122890.97221877937;122882.38039620426;-8.591822575093829;122881.8736255783;0.5067706259578699;1078.3267572;1078.098388671875;0.22836852812497455;1078.77978515625;-0.45302795625002545
34;83;49;132;In;-62411.554;60.033;8.253716200000001;0.4548;14135.0000;60.0;131;122894.81013668592;0.0600320005024428;1;-1;1089.4905384;8.168791154814931;1078.280432435571;0.08492504518507;11.210105964429204;122906.02025076946;122894.81014480504;-8.119095582515001e-06;-62411.55435407296;0.0003540729594533;8.253716261508309;-6.150830778040017e-08;0.1598681598605674;122881.14117034552;122869.93105626198;-11.210114083529334;122869.57881061605;0.3522456459322711;1089.4905384;1089.0595703125;0.43096808750010496;1089.436279296875;0.05425910312510496
32;82;50;132;Sn;-76546.554;1.976;8.3548726;0.015;3088.7280;3.1606;131;122880.6751365603;0.0019756989939901;-1;1;1102.8431832;8.248475081524374;1088.7987107612173;0.1063975184756262;14.044472438782805;122894.71962583937;122880.67515340056;-1.684027665760368e-05;-76546.55447969829;0.0004796982830157;8.354872727577899;-1.2757789846773449e-07;0.1678875975630565;122869.33756590245;122855.29307662336;-14.04448927906924;122855.75553110307;-0.4624544797115959;1102.8431832;1100.4051513671875;2.4380318328126123;1101.1751708984375;1.6680123015626123
30;81;51;132;Sb;-79635.282;2.467;8.3723452;0.0187;5552.9155;4.2708;131;122877.58640923418;0.0024665963866505;1;-1;1105.1495664;8.28943361919955;1094.2052377343405;0.0829115808004505;10.94432866565944;122888.5307522618;122877.58642359616;-1.436196907889098e-05;-79635.2818058178;-0.0001941822119988;8.372345308802764;-1.0880276413161029e-07;0.1761453794546671;122862.64595115608;122851.70160812844;-10.944343027629657;122851.69288993426;0.0087181941780727;1105.1495664;1103.9249267578125;1.2246396421874124;1104.6505126953125;0.4990537046874124
28;80;52;132;Te;-85188.197;3.486;8.4084859;0.0264;515.3046;3.483;131;122872.03349343369;0.0034856509361202;-1;1;1109.9201388;8.345337546711837;1101.5845561659626;0.0631483532881631;8.335582634037564;122880.36908722571;122872.0335045917;-1.1158015695400536e-05;-85188.19760631975;0.0006063197506591;8.408485984530367;-8.453036670630355e-08;0.184644435472131;122853.98178622533;122845.64619243328;-8.335593792042346;122845.7775900396;-0.1313976063247537;1109.9201388;1109.899658203125;0.020480596874904222;1109.8270263671875;0.09311243281240422
26;79;53;132;I;-85703.502;4.065;8.4064628;0.0308;3575.4729;4.0654;131;122871.51818903252;0.004065040268634;1;-1;1109.6530896;8.362516085189856;1103.852123245061;0.0439467148101435;5.800966354938964;122877.3191735422;122871.51820718724;-1.81547220563516e-05;-85703.5020074783;7.478301995433867e-06;8.406462937535803;-1.375358031907581e-07;0.1933877327385067;122850.42961688836;122844.62863237868;-5.800984509667615;122844.72273438616;-0.0941020074969856;1109.6530896;1109.7257080078125;-0.07261840781256979;1109.51904296875;0.13404663124993021
